TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
YAZIGI KIDS 2015;20150041210003;29/01/2015;29/01/2015;29/01/2016;EXPIRADO;;Promocional;COMUM;1;20150041210018;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;TELEVISAO OESTE BAIANO LTDA;CARMINDO MOREIRA SANTOS JUNIOR;;NÃO INFORMADO;TELEVISAO OESTE BAIANO LTDA;16.395.923/0001-20;TELEVISAO OESTE BAIANO LTDA;3948;16.395.923/0001-20;BA;BARREIRAS
01 VOLTAS AS AULAS;20150043170009;30/01/2015;30/01/2015;30/01/2016;EXPIRADO;;01 VOLTAS AS AULAS;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;GLOBAL PRODUÇÕES E PUBLICIDADE LTDA;ELESSANDRO FLORENCIO ALVES;GLOBAL PRODUÇÕES E PUBLICIDADE LTDA;10.461.652/0001-87;CONQUISTA COMERCIO DE CONFECCOES LTDA;01.731.507/0001-88;GLOBAL PRODUÇÕES E PUBLICIDADE LTDA;16527;10.461.652/0001-87;RO;ARIQUEMES
02 VOLTAS AS AULAS;20150043190000;30/01/2015;30/01/2015;30/01/2016;EXPIRADO;;02 VOLTAS AS AULAS;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;GLOBAL PRODUÇÕES E PUBLICIDADE LTDA;ELESSANDRO FLORENCIO ALVES;GLOBAL PRODUÇÕES E PUBLICIDADE LTDA;10.461.652/0001-87;CONQUISTA COMERCIO DE CONFECCOES LTDA;01.731.507/0001-88;GLOBAL PRODUÇÕES E PUBLICIDADE LTDA;16527;10.461.652/0001-87;RO;ARIQUEMES
100 ideias para montar seu negócio;20150000610007;05/01/2015;09/01/2015;05/01/2016;EXPIRADO;;Revista Pequenas Empresas & Grandes Negócios;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);30;OVO EM PE CRIACAO DE CONTEUDOS LTDA-ME;EDUARDO ARTUR RAMOS CARIBONI;;NÃO INFORMADO;EDITORA GLOBO S.A.;04.067.191/0001-60;OVO EM PE CRIACAO DE CONTEUDOS LTDA-ME;27780;14.215.157/0001-49;SP;SAO PAULO
10X ARTEX;20150040270002;29/01/2015;29/01/2015;29/01/2016;EXPIRADO;;LOJA;COMUM;3;20150040270017|20150040270025|20150040270033;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;DPJ ESTRATÉGIAS DE COMUNICAÇÃO E ASSESSORIA LTDA;PAULO ROGERIO PEIXINHO;URBANA COMUNICACAO E MARKETING LTDA - EPP;02.298.896/0001-62;JOEMIL ENXOVAIS LTDA;03.701.179/0001-00;DPJ ESTRATÉGIAS DE COMUNICAÇÃO E ASSESSORIA LTDA;18095;12.633.792/0001-10;PE;PETROLINA
123;20150010760001;09/01/2015;21/01/2015;09/01/2016;EXPIRADO;;Loja de Departamento;TELEVENDA / INFOMERCIAL;50;20150010760016|20150010760024|20150010760032|20150010760040|20150010760059|20150010760067|20150010760075|20150010760083|20150010760091|20150010760105|20150010760113|20150010760121|20150010760130|20150010760148|20150010760156|20150010760164|20150010760172|20150010760180|20150010760199|20150010760202|20150010760210|20150010760229|20150010760237|20150010760245|20150010760253|20150010760261|20150010760270|20150010760288|20150010760296|20150010760300|20150010760318|20150010760326|20150010760334|20150010760342|20150010760350|20150010760369|20150010760377|20150010760385|20150010760393|20150010760407|20150010760415|20150010760423|20150010760431|20150010760440|20150010760458|20150010760466|20150010760474|20150010760482|20150010760490|20150010760504;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);60;OMNIMÍDIA PRODUÇÕES CINEMATOGRÁFICAS E INFORMÁTICA LTDA;CLOVIS EDUARDO AIDAR;OGILVY & MATHER BRASIL COMUNICACAO LTDA;61.067.492/0015-22;MAGAZINE LUIZA S/A;47.960.950/0001-21;OMNIMÍDIA PRODUÇÕES CINEMATOGRÁFICAS E INFORMÁTICA LTDA;1093;00.984.133/0001-40;SP;RIBEIRAO PRETO
15 AE PATRIMONIO 60;20150043440006;30/01/2015;30/01/2015;30/01/2016;EXPIRADO;;AÇÃO LOCAL;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);60;DANIEL PARRA MALACHIAS;DANIEL PARRA MALACHIAS;;NÃO INFORMADO;MUDDI PUBLICIDADE LTDA - EPP;13.024.091/0001-47;DANIEL PARRA MALACHIAS;23866;17.868.529/0001-24;SP;SOROCABA
15 ROGE CARNA 30;20150043380003;30/01/2015;30/01/2015;30/01/2016;EXPIRADO;;AÇÃO LOCAL;COMUM;4;20150043380018|20150043380026|20150043380034|20150043380042;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;DANIEL PARRA MALACHIAS;DANIEL PARRA MALACHIAS;;NÃO INFORMADO;ROGE MOVEIS ELETRODOMESTICOS E ENXOVAIS LTDA;49.566.854/0001-29;DANIEL PARRA MALACHIAS;23866;17.868.529/0001-24;SP;SOROCABA
16646091UDI;20150009810009;09/01/2015;09/01/2015;09/01/2016;EXPIRADO;;Material de construcao;COMUM;2;20150009810013|20150009810021;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;CROMALEAO SERVICOS DE PRODUCAO AUDIOVISUAL LTDA;FLAVIO DE OLIVEIRA GEBRIM;HIP COMUNICACAO E PLANEJAMENTO ESTRATEGICO LTDA - ME;07.572.799/0001-30;METAL NOBRE FERRAGENS FINAS LTDA;00.823.769/0001-00;CROMALEAO SERVICOS DE PRODUCAO AUDIOVISUAL LTDA;21939;15.433.128/0001-16;MG;UBERLANDIA
1ª Ação de Vendas;20150016250005;13/01/2015;13/01/2015;13/01/2016;EXPIRADO;;1ª Ação de Vendas;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;GLOBAL PRODUÇÕES E PUBLICIDADE LTDA;ELESSANDRO FLORENCIO ALVES;GLOBAL PRODUÇÕES E PUBLICIDADE LTDA;10.461.652/0001-87;CATANEO COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA;15.883.291/0001-80;GLOBAL PRODUÇÕES E PUBLICIDADE LTDA;16527;10.461.652/0001-87;RO;ARIQUEMES
