TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""Dia das Mães 2016""";20160119580008;07/04/2016;07/04/2016;07/04/2017;EXPIRADO;;Institucional;COMUM;5;20160119580012|20160119580020|20160119580039|20160119580047|20160119580055;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;ASSOCIACAO ANTONIO VIEIRA;92.959.006/0014-23;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""Dia das Mães 2016""";20160144950000;25/04/2016;25/04/2016;25/04/2017;EXPIRADO;;Eletrodomésticos;COMUM;10;20160144950014|20160144950022|20160144950030|20160144950049|20160144950057|20160144950065|20160144950073|20160144950081|20160144950090|20160144950103;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;CASAS DA AGUA MATERIAIS PARA CONSTRUCAO LTDA;13.501.187/0001-59;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""Dia das Mães 60""";20160119600009;07/04/2016;07/04/2016;07/04/2017;EXPIRADO;;Institucional;COMUM;5;20160119600013|20160119600021|20160119600030|20160119600048|20160119600056;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);60;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;ASSOCIACAO ANTONIO VIEIRA;92.959.006/0014-23;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""Institucional 2016""";20160145130006;25/04/2016;25/04/2016;25/04/2017;EXPIRADO;;Carros;COMUM;5;20160145130010|20160145130029|20160145130037|20160145130045|20160145130053;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;AUTOSHOW GM COMERCIO DE VEICULOS LTDA - ME;10.582.050/0002-69;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""Mapa""";20160145110005;25/04/2016;25/04/2016;25/04/2017;EXPIRADO;;Institucional;COMUM;5;20160145110010|20160145110028|20160145110036|20160145110044|20160145110052;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;CASAS DA AGUA MATERIAIS PARA CONSTRUCAO LTDA;13.501.187/0001-59;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""Novo Voyage""";20160143580004;25/04/2016;25/04/2016;25/04/2017;EXPIRADO;;Carro;COMUM;5;20160143580019|20160143580027|20160143580035|20160143580043|20160143580051;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;MARFISO COMERCIO DE AUTOMOVEIS LTDA;76.818.038/0001-38;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""VISITE O TEXAS""";20160110890004;31/03/2016;02/04/2016;31/03/2017;EXPIRADO;ESTADOS UNIDOS;TURISMO;COMUM;5;20160110890019|20160110890027|20160110890035|20160110890043|20160110890051;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO EXTERIOR;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);30;ATHOS COMUNICACAO LTDA - ME;JOSE LUZIMAR PAIVA;ATHOS COMUNICACAO LTDA - ME;96.497.250/0001-58;OFFICE OF THE GOVERNOR, ECONOMIC DEVELOPMENT AND TOURISM – TEXAS TOURISMO;PESSOA FÍSICA;GRUPO MIDIA PUBLICIDADES E EVENTOS LTDA - ME;15311;10.366.686/0001-92;AM;MANAUS
"""VISITE O TEXAS""";20160110890004;31/03/2016;02/04/2016;31/03/2017;EXPIRADO;ESTADOS UNIDOS;TURISMO;COMUM;5;20160110890019|20160110890027|20160110890035|20160110890043|20160110890051;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO EXTERIOR;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);30;GRUPO MIDIA PUBLICIDADES E EVENTOS LTDA - ME;JOSE LUZIMAR PAIVA;ATHOS COMUNICACAO LTDA - ME;96.497.250/0001-58;OFFICE OF THE GOVERNOR, ECONOMIC DEVELOPMENT AND TOURISM – TEXAS TOURISMO;PESSOA FÍSICA;GRUPO MIDIA PUBLICIDADES E EVENTOS LTDA - ME;15311;10.366.686/0001-92;AM;MANAUS
"""Vinheta 02 - CC""";20160125700001;12/04/2016;12/04/2016;12/04/2017;EXPIRADO;;Institucional;COMUM;5;20160125700016|20160125700024|20160125700032|20160125700040|20160125700059;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);7;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;ASSOCIACAO ANTONIO VIEIRA;92.959.006/0014-23;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""ZIKA VÍRUS RBS TV"" (FILANTRÓPICO)";20160131340003;15/04/2016;15/04/2016;15/04/2017;EXPIRADO;;INSTITUCIONAL DE SERVIÇO (FILANTRÓPICO);CARÁTER BENEFICENTE / FILANTRÓPICO;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;RBS PARTICIPACOES S A;JAIRO RODRIGUES PISCITELLI JUNIOR;;NÃO INFORMADO;RBS PARTICIPACOES S A;68.737.857/0001-22;RBS PARTICIPACOES S A;14567;68.737.857/0001-22;RS;PORTO ALEGRE
