TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""Jovem"", ""Homem"" e ""Mulher"".";20170172660002;08/05/2017;08/05/2017;08/05/2018;EXPIRADO;;UTILIDADE PUBLICA;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;VMS FILMAGENS E EVENTOS LTDA ME;VILMAR MIGUEL SARTORI;;NÃO INFORMADO;SANTA CATARINA PARTIDO DO MOVIMENTO DEMOC BRASILEIRO;83.714.386/0001-20;VMS FILMAGENS E EVENTOS LTDA ME;3273;80.136.716/0001-50;SC;JOACABA
"""O Garoto"" Zeiss";20170151860002;24/04/2017;05/05/2017;24/04/2018;EXPIRADO;;Institucional;COMUM;5;20170151860017|20170151860025|20170151860033|20170151860041|20170151860050;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;BLACK MARIA FILME VIDEO DIGITAL EIRELI;GABRIEL SOPHER RUBIM;GMARK PROMOCAO E EVENTOS LTDA;05.509.085/0001-51;CARL ZEISS VISION BRASIL INDÚSTRIA OPTICA LTDA;28.826.394/0009-08;BLACK MARIA FILME VIDEO DIGITAL EIRELI;67;01.478.079/0001-23;SP;SAO PAULO
"""Seja Socio""";20170193360008;17/05/2017;17/05/2017;17/05/2018;EXPIRADO;;institucional;COMUM;5;20170193360012|20170193360020|20170193360039|20170193360047|20170193360055;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);60;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;FIGUEIRENSE FUTEBOL CLUBE;83.930.131/0001-03;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
- Maxi Maio Merchan;20170199960007;22/05/2017;22/05/2017;22/05/2018;EXPIRADO;;Instirucional;COMUM;5;20170199960011|20170199960020|20170199960038|20170199960046|20170199960054;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;SISTEMA MASSA DE TELEVISÃO LTDA;CARINE GROSKO;;NÃO INFORMADO;MIGUEL SALLUM & FILHOS LTDA;80.218.845/0002-78;SISTEMA MASSA DE TELEVISÃO LTDA;26764;14.965.688/0001-59;PR;PONTA GROSSA
02A 1705 ATACADAO;20170162820007;02/05/2017;11/05/2017;02/05/2018;EXPIRADO;;VAREJO;COMUM;5;20170162820011|20170162820020|20170162820038|20170162820046|20170162820054;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;DMP MARKETING E PROMOÇÃO LTDA;CARLOS DE OLIVEIRA TRINDADE;DIVULGAÇÃO PUBLICIDADE LTDA;03.814.031/0001-74;ATACADAO S.A.;75.315.333/0001-09;DMP MARKETING E PROMOÇÃO LTDA;16394;08.723.626/0001-38;RJ;RIO DE JANEIRO
02B 1705 ATACADAO;20170162860009;02/05/2017;11/05/2017;02/05/2018;EXPIRADO;;VAREJO;COMUM;5;20170162860013|20170162860021|20170162860030|20170162860048|20170162860056;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;DMP MARKETING E PROMOÇÃO LTDA;CARLOS DE OLIVEIRA TRINDADE;DIVULGAÇÃO PUBLICIDADE LTDA;03.814.031/0001-74;ATACADAO S.A.;75.315.333/0001-09;DMP MARKETING E PROMOÇÃO LTDA;16394;08.723.626/0001-38;RJ;RIO DE JANEIRO
02C 1705 ATACADAO;20170162900000;02/05/2017;11/05/2017;02/05/2018;EXPIRADO;;VAREJO;COMUM;5;20170162900015|20170162900023|20170162900031|20170162900040|20170162900058;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;DMP MARKETING E PROMOÇÃO LTDA;CARLOS DE OLIVEIRA TRINDADE;DIVULGAÇÃO PUBLICIDADE LTDA;03.814.031/0001-74;ATACADAO S.A.;75.315.333/0001-09;DMP MARKETING E PROMOÇÃO LTDA;16394;08.723.626/0001-38;RJ;RIO DE JANEIRO
100%JEANS 02;20170189100005;12/05/2017;12/05/2017;12/05/2018;EXPIRADO;;COMERCIO DE CONFECÇÕES;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;FELIPE LEON LIMA LEME - ME;FELIPE LEON LIMA LEME;;NÃO INFORMADO;LUIS GUSTAVO DEIXUM - EIRELI - ME;07.398.232/0001-99;FELIPE LEON LIMA LEME;33768;24.360.399/0001-80;SP;FRANCA
1030;20170193490009;17/05/2017;17/05/2017;17/05/2018;EXPIRADO;;vt;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;SETDOC DIGITALIZAÇÃO E PRODUÇÃO EIRELI - ME;RAMON JOSE PEREIRA REUS;ARILTON AMADOR;80.688.948/0001-10;DE LUCA E DE LUCA LTDA;82.858.242/0001-85;SETDOC DIGITALIZAÇÃO E PRODUÇÃO EIRELI - ME;3187;02.396.878/0001-13;SC;CRICIUMA
10ª MOTOROMARIA;20170202930002;24/05/2017;24/05/2017;24/05/2018;EXPIRADO;;EVENTO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;TV MINAS CENTRO-OESTE LTDA;RODRIGO SOARES LIMA;;NÃO INFORMADO;TV MINAS CENTRO-OESTE LTDA;01.710.918/0001-97;TV MINAS CENTRO-OESTE LTDA;14371;01.710.918/0001-97;MG;DIVINOPOLIS
11 COOPRATA;20170168630005;05/05/2017;05/05/2017;05/05/2018;EXPIRADO;;PRODUTOS AGROPECUÁRIOS;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;BASE - VIDEO PRODUÇÕES E MARK. POLÍTICO LTDA.;ELISAFAN HUMBERTO SOARES;;NÃO INFORMADO;MARCELO DE P. E SILVA - ME;11.280.877/0001-08;BASE - VIDEO PRODUÇÕES E MARK. POLÍTICO LTDA.;17549;08.594.967/0001-50;MG;ITUIUTABA
114 anos de Belém de são Francisco;20170164180005;02/05/2017;02/05/2017;02/05/2018;EXPIRADO;;Video dos 114 anos de Belém de são francisco;TELEVENDA / INFOMERCIAL;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;ANTONIO ELDO MOURA-ME;ANTONIO CEZAR DE MACEDO NETO;ANTONIO ELDO MOURA-ME;12.783.874/0001-41;MUNICIPIO DE BELEM DE SAO FRANCISCO;10.113.728/0001-83;ANTONIO ELDO MOURA-ME;13563;12.783.874/0001-41;PE;PETROLINA
12 CIRCUITO APROSOJA;20170145300009;19/04/2017;03/05/2017;19/04/2018;EXPIRADO;;CURSOS;COMUM;5;20170145300013|20170145300021|20170145300030|20170145300048|20170145300056;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;G. GUEDES DE SOUZA & CIA LTDA ME;GILBERTO GUEDES DE SOUZA;MERCATTO COMUNICAÇÕES INTEGRADA LTDA;04.960.718/0001-80;ASSOCIACAO DOS PRODUTORES DE SOJA E MILHO DO ESTADO DE MATO GROSSO;07.265.758/0001-09;G. GUEDES DE SOUZA & CIA LTDA ME;3458;06.927.445/0001-06;MT;CUIABA
12 Santa Cruz Rodeio Show;20170206710007;26/05/2017;26/05/2017;26/05/2018;EXPIRADO;;Entretenimento;COMUM;5;20170206710011|20170206710020|20170206710038|20170206710046|20170206710054;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;15;LUZ VÍDEO E PRODUÇÕES LTDA - ME;ADRIANO MONTAGNANA;;NÃO INFORMADO;MUNICIPIO DE SANTA CRUZ DA ESPERANCA;01.611.007/0001-02;LUZ VÍDEO E PRODUÇÕES LTDA - ME;4624;05.823.093/0001-78;SP;RIBEIRAO PRETO
123 Nacional 01;20170184270000;10/05/2017;23/05/2017;10/05/2018;EXPIRADO;;Ofertas;COMUM;6;20170184270014|20170184270022|20170184270030|20170184270049|20170184270057|20170184270065;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;45;CINEMALINK - EDIÇÃO E CRIAÇÃO DE VÍDEO LTDA;ANDRE FIORINI;LEO BURNETT PUBLICIDADE LTDA.;04.895.208/0001-77;COMPANHIA BRASILEIRA DE DISTRIBUICAO;47.508.411/0001-56;CINEMALINK - EDIÇÃO E CRIAÇÃO DE VÍDEO LTDA;12666;08.830.439/0001-53;SP;SAO PAULO
