TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
""" ECONOMIZAR, SANTO REMÉDIO""";20130196490000;04/06/2013;04/06/2013;04/06/2014;EXPIRADO;;VAREJO;COMUM;20;20130196490014|20130196490022|20130196490030|20130196490049|20130196490057|20130196490065|20130196490073|20130196490081|20130196490090|20130196490103|20130196490111|20130196490120|20130196490138|20130196490146|20130196490154|20130196490162|20130196490170|20130196490189|20130196490197|20130196490200;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;GRAVIDADE ZERO LTDA;MARCOS PAULO ROMANI;JMA PROPAGANDA E PUBLICIDADE LTDA - ME;08.845.953/0001-62;FARMACIA VALE VERDE LTDA;78.935.400/0009-33;GRAVIDADE ZERO LTDA;3431;07.267.272/0001-00;PR;LONDRINA
""" INSTITUCIONAL LIDERANÇA""";20130226350006;26/06/2013;26/06/2013;26/06/2014;EXPIRADO;;SERVIÇO;COMUM;3;20130226350010|20130226350029|20130226350037;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;LIDERANCA LIMPEZA E CONSERVACAO LTDA;00.482.840/0001-38;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""JOÃO MANUEL""";20130222180009;21/06/2013;21/06/2013;21/06/2014;EXPIRADO;;EMPREENDIMENTO;COMUM;5;20130222180013|20130222180021|20130222180030|20130222180048|20130222180056;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;CASA PROPRIA CONSTRUCOES LTDA - EPP;05.039.528/0001-98;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""Junho a Regra é Clara""";20130203730007;07/06/2013;07/06/2013;07/06/2014;EXPIRADO;;carro;COMUM;3;20130203730011|20130203730020|20130203730038;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;SUPERAUTO DISTRIBUIDORA LTDA;05.937.763/0001-87;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""Sort 30 jun 13""";20130218530009;19/06/2013;19/06/2013;19/06/2014;EXPIRADO;;trimania;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;DRN PRODUÇÕES AUDIOVISUAIS EIRELI - ME;DIEGO RODRIGO DO NASCIMENTO;VOÜK PUBLICIDADE LTDA.;08.843.796/0001-56;FEDERACAO CATARINENSE DE BASKETBALL;00.604.100/0001-27;DRN PRODUÇÕES AUDIOVISUAIS EIRELI - ME;18858;13.368.012/0001-15;SC;JOINVILLE
"'SORT 07 JUL 2013""";20130231360006;28/06/2013;28/06/2013;28/06/2014;EXPIRADO;;TRIMANIA;COMUM;3;20130231360010|20130231360029|20130231360037;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;DRN PRODUÇÕES AUDIOVISUAIS EIRELI - ME;DIEGO RODRIGO DO NASCIMENTO;VOÜK PUBLICIDADE LTDA.;08.843.796/0001-56;FEDERACAO CATARINENSE DE BASKETBALL;00.604.100/0001-27;DRN PRODUÇÕES AUDIOVISUAIS EIRELI - ME;18858;13.368.012/0001-15;SC;JOINVILLE
01 VESTIBULAR DE INVERNO FCJP;20130220710000;21/06/2013;21/06/2013;21/06/2014;EXPIRADO;;EDUCAÇÃO SUPERIOR - GRADUAÇÃO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;PROMOVE PRODUTORA LTDA-ME;LUIZ FABIO DA COSTA;;NÃO INFORMADO;ASSOCIACAO EDUCACIONAL DE JOAO PINHEIRO;03.289.019/0001-98;PROMOVE PRODUTORA LTDA-ME;20810;13.962.189/0001-45;GO;ANAPOLIS
03 PRODUTOS;20130216600000;18/06/2013;18/06/2013;18/06/2014;EXPIRADO;;MATERIAL DE CONSTRUÇÃO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;PAULO SÉRGIO FAGUNDES PADILHA;PAULO SERGIO FAGUNDES PADILHA;;NÃO INFORMADO;BRUNA SOUZA LACERDA - ME;07.751.257/0001-24;PAULO SÉRGIO FAGUNDES PADILHA;4893;01.158.712/0001-04;RS;ALEGRETE
100 ETIOS;20130209510009;12/06/2013;12/06/2013;12/06/2014;EXPIRADO;;AGÊNCIA DE AUTOMÓVEIS;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;MPX COMUNICAÇÃO E PRODUÇÕES EM VÍDEO LTDA. ME.;VALERIA DE ARAUJO LATTANZI MACEDO;FÁBRICA DE IDÉIAS COMUNICAÇÃO E DESIGN LTDA S/C.;00.792.054/0001-37;TOYOSERRA VEICULOS LTDA.;32.565.848/0001-54;MPX COMUNICAÇÃO E PRODUÇÕES EM VÍDEO LTDA. ME.;16966;10.945.600/0001-86;RJ;PETROPOLIS
100 ETIOS FEIRÃO TOYOTA;20130216180000;18/06/2013;18/06/2013;18/06/2014;EXPIRADO;;AGÊNCIA DE AUTOMÓVEIS;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;MPX COMUNICAÇÃO E PRODUÇÕES EM VÍDEO LTDA. ME.;VALERIA DE ARAUJO LATTANZI MACEDO;;NÃO INFORMADO;TOYOSERRA VEICULOS LTDA.;32.565.848/0001-54;MPX COMUNICAÇÃO E PRODUÇÕES EM VÍDEO LTDA. ME.;16966;10.945.600/0001-86;RJ;PETROPOLIS
