TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""Escolha ter um corpo perfeito""";20160411420007;13/10/2016;13/10/2016;13/10/2017;EXPIRADO;;saúde;COMUM;5;20160411420011|20160411420020|20160411420038|20160411420046|20160411420054;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;MARCELO HENRIQUE THEOBALD ***********;HUGO LEONARDO THEOBALD;NOVASTUDIO COMPUTACAO GRAFICA LTDA - ME;10.772.683/0001-59;T.A. GONZALEZ ADOXY COMERCIAL - ME;26.187.389/0001-10;MARCELO HENRIQUE THEOBALD ***********;21719;14.951.926/0001-77;RJ;PETROPOLIS
"""Natal Gente Boa Gente Nossa Koerich""";20160433720003;28/10/2016;28/10/2016;28/10/2017;EXPIRADO;;Institucional;COMUM;10;20160433720018|20160433720026|20160433720034|20160433720042|20160433720050|20160433720069|20160433720077|20160433720085|20160433720093|20160433720107;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;EUGENIO RAULINO KOERICH SA COMERCIO E INDUSTRIA;86.184.074/0018-99;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""Outubro de Diversão""";20160396450001;04/10/2016;04/10/2016;04/10/2017;EXPIRADO;;Institucional;COMUM;5;20160396450016|20160396450024|20160396450032|20160396450040|20160396450059;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;MONA PNEUS EIRELI - EPP;17.253.723/0001-03;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
#EUTRANSFORMO NOTRE DAME;20160417230005;19/10/2016;19/10/2016;19/10/2017;EXPIRADO;;EDUCACAO;COMUM;5;20160417230010|20160417230028|20160417230036|20160417230044|20160417230052;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;A.F.W PRODUÇOES LTDA;FABIO COVATTI;;NÃO INFORMADO;CONGREGACAO DE NOSSA SENHORA;92.017.516/0003-29;A.F.W PRODUÇOES LTDA;22842;10.995.556/0001-19;RS;PASSO FUNDO
#nadaseracomoantes;20160401980000;06/10/2016;14/10/2016;06/10/2017;EXPIRADO;;Salão do Automovel 2016;COMUM;5;20160401980014|20160401980022|20160401980030|20160401980049|20160401980057;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;R W SIVIERO PRODUÇÃO CINEMATOGRAFICA ME;DIOGO ROCHA GARCIA KALIL;;NÃO INFORMADO;REED EXHIBITIONS ALCANTARA MACHADO LTDA;02.162.646/0001-09;R W SIVIERO PRODUÇÃO CINEMATOGRAFICA ME;33825;11.961.838/0001-68;SP;SAO PAULO
1 FEST SHOW MARCAS;20160421820008;21/10/2016;21/10/2016;21/10/2017;EXPIRADO;;REVENDEDOR AUTOMOTIVO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;L L CARDOSO & CIA LTDA-ME;LUZINAN LOPES CARDOSO;E M S CARDOSO PUBLICIDADES - ME;07.384.067/0001-16;UMUARAMA MOTORS COMERCIO E SERVICOS LTDA;07.172.382/0001-80;L L CARDOSO & CIA LTDA;17994;11.212.152/0001-74;TO;ARAGUAINA
1 ano com gostinho de quero mais;20160428900007;25/10/2016;25/10/2016;25/10/2017;EXPIRADO;;Eletrodomésticos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;ZIPMÍDIA - SERVIÇOS DE PRODUÇÃO AUDIOVISUAL LTDA;DOUGLAS FIGUEIREDO DE ARAUJO;SAKEY COMUNICACAO E MARKETING LTDA - ME;13.731.606/0001-49;ERIVELTO CAETANO;22.909.938/0001-61;ZIPMÍDIA - SERVIÇOS DE PRODUÇÃO AUDIOVISUAL LTDA;15392;07.473.162/0001-96;MG;VARGINHA
10 ANOS;20160428870000;25/10/2016;25/10/2016;25/10/2017;EXPIRADO;;INSTITUCIONAL;COMUM;5;20160428870015|20160428870023|20160428870031|20160428870040|20160428870058;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;TPS MULTIMÍDIA LTDA;DIEGO ROMERO DE GODOY;MERCADO PROPAGANDA E MARKETING LTDA;78.838.315/0001-08;ASSOCIACAO DOS LOJISTAS DO FAROL SHOPPING ALFS;15.638.268/0001-20;TPS MULTIMÍDIA LTDA;164;00.285.073/0001-77;SC;FLORIANOPOLIS
10 Anos Rastapé;20160408670006;11/10/2016;11/10/2016;11/10/2017;EXPIRADO;;Danceteria - Casa de Forró;COMUM;3;20160408670010|20160408670029|20160408670037;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);60;LUCIANO AZEVEDO DE SOUZA;LUCIANO AZEVEDO DE SOUSA;;NÃO INFORMADO;DANCETERIA RASTAPÉ LTDA;07.525.748/0001-57;LUCIANO AZEVEDO DE SOUZA;34234;11.056.205/0001-05;RN;NATAL
10 anos cuidando da saúde do seu sono;20160413740009;14/10/2016;14/10/2016;14/10/2017;EXPIRADO;;Dr. Colchão;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;15;OLDMONKEY STUDIOS LTDA - ME;CARLOS EDUARDO VASCONCELLOS DE OLIVEIRA LIMA;JJRV COMUNICACAO E EVENTOS LTDA - ME;13.243.882/0001-68;SAMA COLCHOES - COMERCIAL DE COLCHOES E ENXOVAIS LTDA - EPP;14.683.967/0001-20;OLDMONKEY STUDIOS LTDA - ME;30986;23.234.424/0001-16;DF;BRASILIA
