TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
04 LOJAS PARA VOCÊ;20160341940007;25/08/2016;25/08/2016;25/08/2017;EXPIRADO;;AUTOMOVEIS;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;ZAP MARKETING E PRODUÇÃO DE VÍDEOS LTDA - ME;THIAGO VINICIUS PEREIRA DE MORAIS;LIWARA RIO PRETO PUBLICIDADE E PROPAGANDA LTDA;06.866.251/0001-30;BENI CAR COMERCIO IMPORTACAO E VEICULOS LTDA;71.869.663/0003-57;ZAP MARKETING E PRODUÇÃO DE VÍDEOS LTDA - ME;29541;19.322.120/0001-33;SP;SAO JOSE DO RIO PRETO
1 Vestibular 2017;20160332650000;18/08/2016;18/08/2016;18/08/2017;EXPIRADO;;faculdade;COMUM;1;20160332650014;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;GALO DE BRIGA FILMES LTDA - ME;RAFAEL ZACHEU JERICO;PHABRICA DE IDEIAS MARKETING GLOBAL S/S LTDA - EPP;01.053.790/0001-36;ASSOCIACAO DE EDUCACAO E CULTURA DO NORTE PAULISTA;57.713.281/0001-47;GALO DE BRIGA FILMES LTDA - ME;20685;09.590.800/0001-84;SP;SAO JOSE DO RIO PRETO
10 anos Bahia Notícias;20160273490005;27/07/2016;02/08/2016;27/07/2017;IRREGULAR;;10 anos do Portal de Notícias da Bahia, o Bahia Notícias;TELEVENDA / INFOMERCIAL;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;N5 PRODUÇÕES SERVIÇOS DE FOTO,VÍDEO,PUBLICIDADE E EVENTOS LTDA ME;RYAN PEDRO FIGUEIREDO BELEM;;NÃO INFORMADO;S2R COMUNICACAO LTDA - EPP;08.259.692/0001-07;N5 PRODUÇÕES SERVIÇOS DE FOTO,VÍDEO,PUBLICIDADE E EVENTOS LTDA ME;16137;08.960.271/0001-09;BA;SALVADOR
10 anos da hora;20160341060007;25/08/2016;25/08/2016;25/08/2017;EXPIRADO;;Institucional;COMUM;5;20160341060011|20160341060020|20160341060038|20160341060046|20160341060054;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;STUDIO 20 PRODUÇÕES LTDA;WELLINGTON ZUCCO WEBER;LUCIANA FERNANDES ***********;19.707.248/0001-15;NC COMUNICACOES SA;79.227.963/0001-82;STUDIO 20 PRODUÇÕES LTDA;3089;05.705.605/0001-00;SC;BLUMENAU
10.000 para o papai;20160311430000;03/08/2016;03/08/2016;03/08/2017;EXPIRADO;;shopping;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;PIX IMAGE SERVIÇOS AUDIO VISUAL LTDA-ME;MANOEL ANTONIO COLCHAO;MAYA COMUNICACAO RIO PRETO LTDA;09.126.065/0001-52;CONDOMINIO PRACA SHOPPING;07.450.698/0001-96;PIX IMAGE SERVIÇOS AUDIO VISUAL LTDA-ME;4564;07.504.405/0001-06;SP;SAO JOSE DO RIO PRETO
100 DESTINOS;20160263460006;20/07/2016;02/08/2016;20/07/2017;EXPIRADO;;INSTITUCIONAL;COMUM;5;20160263460010|20160263460029|20160263460037|20160263460045|20160263460053;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);30;7 FILMES PRODUCOES LTDA;HELIO FONTANA ROSA JUNIOR;VML BRASIL PROPAGANDA LTDA;58.456.336/0001-43;AZUL LINHAS AEREAS BRASILEIRAS S.A.;09.296.295/0001-60;7 FILMES PRODUCOES LTDA;19508;09.163.728/0001-09;SP;SAO PAULO
100 METROS;20160237270009;29/06/2016;18/08/2016;29/06/2017;EXPIRADO;;INSTITUCIONAL;COMUM;5;20160237270013|20160237270021|20160237270030|20160237270048|20160237270056;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;45;SAIGON FILMES LTDA;JOAO LUIZ PAULINO DORNELAS;ALMAP BBDO PUBLICIDADE E COMUNICACOES LTDA.;62.050.174/0001-16;BRADESCO SEGUROS S/A;33.055.146/0001-93;SAIGON FILMES LTDA;28030;20.975.417/0001-87;SP;SAO PAULO
100 METROS;20160237270009;29/06/2016;18/08/2016;29/06/2017;EXPIRADO;;INSTITUCIONAL;COMUM;5;20160237270013|20160237270021|20160237270030|20160237270048|20160237270056;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;45;SAIGON FILMES LTDA;PEDRO HENRIQUE CARVALHO PEREIRA;ALMAP BBDO PUBLICIDADE E COMUNICACOES LTDA.;62.050.174/0001-16;BRADESCO SEGUROS S/A;33.055.146/0001-93;SAIGON FILMES LTDA;28030;20.975.417/0001-87;SP;SAO PAULO
100% PET 2016;20160266090005;22/07/2016;02/08/2016;22/07/2017;EXPIRADO;;Institucional, produto e serviço;COMUM;50;20160266090010|20160266090028|20160266090036|20160266090044|20160266090052|20160266090060|20160266090079|20160266090087|20160266090095|20160266090109|20160266090117|20160266090125|20160266090133|20160266090141|20160266090150|20160266090168|20160266090176|20160266090184|20160266090192|20160266090206|20160266090214|20160266090222|20160266090230|20160266090249|20160266090257|20160266090265|20160266090273|20160266090281|20160266090290|20160266090303|20160266090311|20160266090320|20160266090338|20160266090346|20160266090354|20160266090362|20160266090370|20160266090389|20160266090397|20160266090400|20160266090419|20160266090427|20160266090435|20160266090443|20160266090451|20160266090460|20160266090478|20160266090486|20160266090494|20160266090508;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;CESAR AUGUSTO MARCOS MOREIRA;NATALIA COELHO DE MIRANDA VIANNA;TOPICO COMUNICAÇÃO E COMÉRCIO LTDA;00.945.256/0001-71;CPC PET SHOP E SERVICOS LTDA;17.270.678/0001-97;CESAR AUGUSTO MARCOS MOREIRA;21657;11.265.379/0001-88;SP;CAMPINAS
11 ANOS;20160347920008;30/08/2016;30/08/2016;30/08/2017;EXPIRADO;;SUPERMERCADO;TELEVENDA / INFOMERCIAL;2;20160347920012|20160347920020;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;ARAGAO COMUNICACAO LTDA EPP;MARCUS VINICIUS DE ARAGAO COSTA;ARAGAO PUBLICIDADE LTDA - EPP;02.298.148/0001-80;ASSOCIACAO DOS VAREJISTAS DO ESTADO DO RIO GRANDE DO NORTE - AVERN;06.971.118/0001-43;ARAGÃO COMUNICAÇÃO LTDA;22696;14.925.243/0001-45;RN;NATAL
12 ANOS ORAL SIN 30;20160318450007;08/08/2016;08/08/2016;08/08/2017;EXPIRADO;;VT VAREJO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;THIAGO HENRIQUE RODRIGUES - ME;THIAGO HENRIQUE RODRIGUES;THIAGO HENRIQUE RODRIGUES - ME;19.446.448/0001-61;MGR CENTRO DE REABILITACAO ORAL LTDA - EPP;16.858.012/0001-91;THIAGO HENRIQUE RODRIGUES - ME;33127;19.446.448/0001-61;PR;CAMBE
14° arraia;20160312700001;03/08/2016;03/08/2016;03/08/2017;EXPIRADO;;Comercial;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;ESFFERA FILMES PRODUÇÕES EIRELI ME;VIVIANE DIAS VIEIRA DE OLIVEIRA;;NÃO INFORMADO;INSTITUTO PRO VIDA SAO SEBASTIAO;49.263.528/0003-04;ESFFERA FILMES PRODUÇÕES EIRELI ME;23431;17.552.763/0001-48;SP;SAO JOSE DOS CAMPOS
17695003000190;20160335530005;22/08/2016;22/08/2016;22/08/2017;EXPIRADO;;varejo e atacado;COMUM;5;20160335530010|20160335530028|20160335530036|20160335530044|20160335530052;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;TOTAL AGENCIA DE PUBLICIDADE E PRODUTORA LTDA;WELISMAR PEREIRA DA SILVA;TOTAL AGENCIA DE PUBLICIDADE E PRODUTORA LTDA;17.695.003/0001-90;N. J. ALVORADA MOREIRA COMERCIO DE GENEROS ALIMENTICIOS E TRANSPORTE LTDA - ME;10.476.736/0002-75;TOTAL AGENCIA DE PUBLICIDADE E PRODUTORA LTDA;24076;17.695.003/0001-90;RO;VILHENA
19 Reais;20160343620000;26/08/2016;26/08/2016;26/08/2017;EXPIRADO;;OTICA;COMUM;1;20160343620014;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;A. S. CALABRE NETO & CIA. LTDA;ALFREDO SORIA CALABRE JUNIOR;GARCIA & ASSOCIADOS PUBLICIDADE LTDA - EPP;52.250.958/0001-34;HENRIQUE SOARES MARTINS;07.327.567/0001-16;A. S. CALABRE NETO & CIA. LTDA;790;05.096.228/0001-40;SP;SANTOS
2 ENDEREÇOS;20160310410006;03/08/2016;03/08/2016;03/08/2017;EXPIRADO;;CENTRO AUTOMOTIVO;COMUM;10;20160310410010|20160310410029|20160310410037|20160310410045|20160310410053|20160310410061|20160310410070|20160310410088|20160310410096|20160310410100;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;ANALU MILANI RIBEIRO SCARPINI ***********;ANDRE LUIZ SCARPINI;IPANEMA MARKETING LTDA ME;51.826.030/0001-92;LIDER PNEUS AUTO SERVICE LTDA - ME;24.869.705/0001-08;ANALU MILANI RIBEIRO SCARPINI ***********;26127;12.978.772/0001-81;SP;RIBEIRAO PRETO
2 FEIRAO DE GRANDES MARCAS;20160319270002;09/08/2016;09/08/2016;09/08/2017;EXPIRADO;;REVENDEDOR AUTOMOTIVO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;L L CARDOSO & CIA LTDA-ME;LUZINAN LOPES CARDOSO;E M S CARDOSO PUBLICIDADES - ME;07.384.067/0001-16;NOVO RIO COMERCIO DE VEICULOS, PECAS SERVICOS LTDA;05.014.268/0001-04;L L CARDOSO & CIA LTDA;17994;11.212.152/0001-74;TO;ARAGUAINA
20 Anos;20160308880009;02/08/2016;02/08/2016;02/08/2017;EXPIRADO;;Equipamentos de Segurança;COMUM;5;20160308880013|20160308880021|20160308880030|20160308880048|20160308880056;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;STUDIO 20 PRODUÇÕES LTDA;WELLINGTON ZUCCO WEBER;;NÃO INFORMADO;CORINGA COM.E REPRES. DE EQUI.ELETR.DE SEGURANCA LTDA;01.468.282/0001-19;STUDIO 20 PRODUÇÕES LTDA;3089;05.705.605/0001-00;SC;BLUMENAU
