TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
01 ITAQUI;20250222180008;18/07/2025;18/07/2025;18/07/2026;REGISTRADO;;CHAMADA;COMUM;4;20250222180013|20250222180021|20250222180030|20250222180048;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;THIAGO DOS SANTOS GOULART - ME;THIAGO DOS SANTOS GOULART;;NÃO INFORMADO;DANIELE GOMES MOURA;15.002.060/0001-10;THIAGO DOS SANTOS GOULART - ME;34079;24.616.069/0001-02;RS;URUGUAIANA
01gabe;20250207940005;04/07/2025;04/07/2025;04/07/2026;REGISTRADO;;VT;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;ROBALLO ASSESSORIA LTDA;PABLO STEFANO DOMINGUES DE MELLO;;NÃO INFORMADO;GABRYELLE ROLIM LOPES;14.526.778/0001-43;ROBALLO ASSESSORIA LTDA;59348;53.446.131/0001-63;RS;URUGUAIANA
02 Anos CascavelCor;20250231380006;28/07/2025;28/07/2025;28/07/2026;REGISTRADO;;Vt Promocional;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;A.FRANCA & CAMARGO EDIÇÃO DE FITAS LTDA;ALBERTO FRANCA;A.FRANCA & CAMARGO EDIÇÃO DE FITAS LTDA;09.643.850/0001-82;KVW TINTAS LTDA;50.526.287/0001-66;A.FRANCA & CAMARGO EDIÇÃO DE FITAS LTDA;14092;09.643.850/0001-82;PR;CASCAVEL
0207 ÍTALO 2025;20250202010000;01/07/2025;01/07/2025;01/07/2026;REGISTRADO;;SUPERMERCADO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;KLOCHINSKI E FIORI LTDA;BRUNO FIORI GOMES DA SILVA;FLORENCA COMUNICACAO LTDA;21.707.107/0001-44;ÍTALO SUPERMERCADOS;04.768.477/0002-53;KLOCHINSKI E FIORI LTDA;43704;17.914.928/0001-84;PR;FRANCISCO BELTRAO
0307 REDE BEM VIVER VEM AI 2025;20250203390000;02/07/2025;02/07/2025;02/07/2026;REGISTRADO;;MATERIAL DE CONSTRUÇÃO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;KLOCHINSKI E FIORI LTDA;BRUNO FIORI GOMES DA SILVA;BISTRO COMUNICACAO LTDA - EPP;07.328.536/0001-80;ASSOCIACAO DAS REVENDAS DE MATERIAIS PARA CONSTRUCAO - REDE BEM VIVER;04.714.901/0001-04;KLOCHINSKI E FIORI LTDA;43704;17.914.928/0001-84;PR;FRANCISCO BELTRAO
10 - VENDAS - 03/08/25;20250228150003;24/07/2025;24/07/2025;24/07/2026;REGISTRADO;;TITULO DE CAPITALIZAÇÃO;COMUM;3;20250228150019|20250228150027|20250228150035;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;10;BATUTA FILMES LTDA;ALEXANDRE MILIANI;MRW PARTICIPACOES SOROCABA LTDA - EPP;21.825.829/0001-01;BANCO DE OLHOS DE SOROCABA;50.795.566/0001-25;BATUTA FILMES LTDA;2834;07.026.323/0001-01;SP;SOROCABA
10 - VENDAS - 10/08/25;20250233260008;29/07/2025;29/07/2025;29/07/2026;REGISTRADO;;TITULO DE CAPITALIZAÇÃO;COMUM;3;20250233260013|20250233260021|20250233260030;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;10;BATUTA FILMES LTDA;ALEXANDRE MILIANI;MRW PARTICIPACOES SOROCABA LTDA - EPP;21.825.829/0001-01;BANCO DE OLHOS DE SOROCABA;50.795.566/0001-25;BATUTA FILMES LTDA;2834;07.026.323/0001-01;SP;SOROCABA
10 - VENDAS - 13/07/25;20250201340006;01/07/2025;01/07/2025;01/07/2026;REGISTRADO;;TITULO DE CAPITALIZAÇÃO;COMUM;3;20250201340011|20250201340020|20250201340038;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;10;BATUTA FILMES LTDA;ALEXANDRE MILIANI;MRW PARTICIPACOES SOROCABA LTDA - EPP;21.825.829/0001-01;BANCO DE OLHOS DE SOROCABA;50.795.566/0001-25;BATUTA FILMES LTDA;2834;07.026.323/0001-01;SP;SOROCABA
10 - VENDAS - 20/07/25;20250212650001;10/07/2025;10/07/2025;10/07/2026;REGISTRADO;;TITULO DE CAPITALIZAÇÃO;COMUM;3;20250212650017|20250212650025|20250212650033;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;10;BATUTA FILMES LTDA;ALEXANDRE MILIANI;MRW PARTICIPACOES SOROCABA LTDA - EPP;21.825.829/0001-01;BANCO DE OLHOS DE SOROCABA;50.795.566/0001-25;BATUTA FILMES LTDA;2834;07.026.323/0001-01;SP;SOROCABA
10 - VENDAS - 27/07/25;20250220670008;16/07/2025;16/07/2025;16/07/2026;REGISTRADO;;TITULO DE CAPITALIZAÇÃO;COMUM;3;20250220670013|20250220670021|20250220670030;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;10;BATUTA FILMES LTDA;ALEXANDRE MILIANI;MRW PARTICIPACOES SOROCABA LTDA - EPP;21.825.829/0001-01;BANCO DE OLHOS DE SOROCABA;50.795.566/0001-25;BATUTA FILMES LTDA;2834;07.026.323/0001-01;SP;SOROCABA
