TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""ÍCARO""";20180368990005;29/09/2018;02/10/2018;29/09/2019;EXPIRADO;;COMERCIAL;COMUM;5;20180368990010|20180368990028|20180368990036|20180368990044|20180368990052;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;15;DEISE GRAZIELE CAMPOS ***********;JULIANO GUIMARAES AMBROSINI;;NÃO INFORMADO;DEISE GRAZIELE CAMPOS ***********;18.817.440/0001-00;DEISE GRAZIELE CAMPOS ***********;25590;18.817.440/0001-00;RS;PORTO ALEGRE
#Notre Dame;20180387520000;11/10/2018;11/10/2018;11/10/2019;EXPIRADO;;educacao;COMUM;5;20180387520015|20180387520023|20180387520031|20180387520040|20180387520058;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);60;A.F.W PRODUÇOES LTDA;FABIO COVATTI;;NÃO INFORMADO;CONGREGACAO DE NOSSA SENHORA;92.017.516/0001-67;A.F.W PRODUÇOES LTDA;22842;10.995.556/0001-19;RS;PASSO FUNDO
#ONOVOBAIANO;20180403030009;24/10/2018;27/10/2018;24/10/2019;EXPIRADO;;VT 15 SEGUNDOS;COMUM;5;20180403030013|20180403030021|20180403030030|20180403030048|20180403030056;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;BRUNO M PINHEIRO-ME;BRUNO MARGALHAO PINHEIRO;;NÃO INFORMADO;NOVO PALCO EVENTOS E PRODUÇÕES ARTÍSTICAS LTDA.;10.177.252/0001-44;BRUNO M PINHEIRO-ME;21844;15.566.436/0001-10;BA;SALVADOR
01A 1810 ATACADAO;20180369400007;01/10/2018;02/10/2018;01/10/2019;EXPIRADO;;VAREJO;COMUM;5;20180369400011|20180369400020|20180369400038|20180369400046|20180369400054;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;DMP MARKETING E PROMOÇÃO LTDA;CARLOS DE OLIVEIRA TRINDADE;DIVULGAÇÃO PUBLICIDADE LTDA;03.814.031/0001-74;ATACADAO S.A.;75.315.333/0001-09;DMP MARKETING E PROMOÇÃO LTDA;16394;08.723.626/0001-38;RJ;RIO DE JANEIRO
01B 1810 ATACADAO;20180369460000;01/10/2018;02/10/2018;01/10/2019;EXPIRADO;;VAREJO;COMUM;5;20180369460014|20180369460022|20180369460030|20180369460049|20180369460057;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;DMP MARKETING E PROMOÇÃO LTDA;CARLOS DE OLIVEIRA TRINDADE;DIVULGAÇÃO PUBLICIDADE LTDA;03.814.031/0001-74;ATACADAO S.A.;75.315.333/0001-09;DMP MARKETING E PROMOÇÃO LTDA;16394;08.723.626/0001-38;RJ;RIO DE JANEIRO
02Gremio;20180384620004;10/10/2018;27/10/2018;10/10/2019;EXPIRADO;;Promocional;COMUM;5;20180384620019|20180384620027|20180384620035|20180384620043|20180384620051;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;VÉRTICE FINALIZAÇÃO LTDA;CARLOS ALBERTO KULPA;GLOBALCOMM COMUNICACAO E MARKETING LTDA;01.914.822/0001-40;IDT DESENVOLVIMENTO EM TECNOLOGIA DA INFORMACAO LTDA;31.356.154/0001-44;VÉRTICE FINALIZAÇÃO LTDA;30870;09.262.256/0001-41;RS;SANTA CRUZ DO SUL
03Gremio;20180384810008;10/10/2018;27/10/2018;10/10/2019;EXPIRADO;;Promocional;COMUM;5;20180384810012|20180384810020|20180384810039|20180384810047|20180384810055;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;VÉRTICE FINALIZAÇÃO LTDA;CARLOS ALBERTO KULPA;GLOBALCOMM COMUNICACAO E MARKETING LTDA;01.914.822/0001-40;IDT DESENVOLVIMENTO EM TECNOLOGIA DA INFORMACAO LTDA;31.356.154/0001-44;VÉRTICE FINALIZAÇÃO LTDA;30870;09.262.256/0001-41;RS;SANTA CRUZ DO SUL
04Gremio;20180384920008;10/10/2018;27/10/2018;10/10/2019;EXPIRADO;;Promocional;COMUM;5;20180384920012|20180384920020|20180384920039|20180384920047|20180384920055;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;VÉRTICE FINALIZAÇÃO LTDA;CARLOS ALBERTO KULPA;GLOBALCOMM COMUNICACAO E MARKETING LTDA;01.914.822/0001-40;IDT DESENVOLVIMENTO EM TECNOLOGIA DA INFORMACAO LTDA;31.356.154/0001-44;VÉRTICE FINALIZAÇÃO LTDA;30870;09.262.256/0001-41;RS;SANTA CRUZ DO SUL
05 FATOS;20180383460003;09/10/2018;09/10/2018;09/10/2019;EXPIRADO;;COLÉGIO;COMUM;5;20180383460018|20180383460026|20180383460034|20180383460042|20180383460050;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;GOULART & PINOTTI - SOLUÇÕES MULTIMÍDIA LTDA;JOAO ROBERTO PINOTTI DOS SANTOS;PAPAYA COMUNICAÇÃO LTDA ME;11.002.344/0001-56;NAS EDUCACAO LTDA;08.204.478/0001-45;GOULART & PINOTTI - SOLUÇÕES MULTIMÍDIA LTDA;5569;07.069.666/0001-45;SP;SAO JOSE DOS CAMPOS
0800;20180412210006;31/10/2018;31/10/2018;31/10/2019;EXPIRADO;;óculos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;RED COMUNICACAO LTDA;JAMILE ARAUJO DANTAS;RED COMUNICACAO LTDA;18.210.704/0001-54;M A VIEGAS MATOS;16.977.168/0001-91;RED COMUNICACAO LTDA;27033;18.210.704/0001-54;AP;MACAPA
