TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
Morning Call XP - Episódio 07;20200172220001;09/06/2020;10/06/2020;09/06/2021;EXPIRADO;;Banco de Investimentos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);57;PDJ PRODUCOES LTDA;GABRIEL FRAGUGLIA MUSSOLINO LIMA;ACCENTURE AGENCIA INTERATIVA LTDA;11.174.561/0001-23;XP INVESTIMENTOS CCTVM S.A.;02.332.886/0001-04;PDJ PRODUCOES LTDA;35819;18.126.845/0001-93;SP;SAO PAULO
Morning Call XP - Episódio 08;20200173590007;10/06/2020;11/06/2020;10/06/2021;EXPIRADO;;Banco de Investimentos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);60;PDJ PRODUCOES LTDA;GABRIEL FRAGUGLIA MUSSOLINO LIMA;ACCENTURE AGENCIA INTERATIVA LTDA;11.174.561/0001-23;XP INVESTIMENTOS CCTVM S.A.;02.332.886/0001-04;PDJ PRODUCOES LTDA;35819;18.126.845/0001-93;SP;SAO PAULO
Morning Call XP - Episódio 09;20200174980003;11/06/2020;13/06/2020;11/06/2021;EXPIRADO;;Banco de Investimentos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);56;PDJ PRODUCOES LTDA;GABRIEL FRAGUGLIA MUSSOLINO LIMA;ACCENTURE AGENCIA INTERATIVA LTDA;11.174.561/0001-23;XP INVESTIMENTOS CCTVM S.A.;02.332.886/0001-04;PDJ PRODUCOES LTDA;35819;18.126.845/0001-93;SP;SAO PAULO
Morning Call XP - Episódio 10;20200175570003;12/06/2020;13/06/2020;12/06/2021;EXPIRADO;;Banco de Investimentos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);60;PDJ PRODUCOES LTDA;GABRIEL FRAGUGLIA MUSSOLINO LIMA;ACCENTURE AGENCIA INTERATIVA LTDA;11.174.561/0001-23;XP INVESTIMENTOS CCTVM S.A.;02.332.886/0001-04;PDJ PRODUCOES LTDA;35819;18.126.845/0001-93;SP;SAO PAULO
Morning Call XP - Episódio 11;20200177780005;15/06/2020;16/06/2020;15/06/2021;EXPIRADO;;Banco de Investimentos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);60;PDJ PRODUCOES LTDA;GABRIEL FRAGUGLIA MUSSOLINO LIMA;ACCENTURE AGENCIA INTERATIVA LTDA;11.174.561/0001-23;XP INVESTIMENTOS CCTVM S.A.;02.332.886/0001-04;PDJ PRODUCOES LTDA;35819;18.126.845/0001-93;SP;SAO PAULO
Morning Call XP - Episódio 12;20200179310006;16/06/2020;17/06/2020;16/06/2021;EXPIRADO;;Banco de Investimentos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);58;PDJ PRODUCOES LTDA;GABRIEL FRAGUGLIA MUSSOLINO LIMA;ACCENTURE AGENCIA INTERATIVA LTDA;11.174.561/0001-23;XP INVESTIMENTOS CCTVM S.A.;02.332.886/0001-04;PDJ PRODUCOES LTDA;35819;18.126.845/0001-93;SP;SAO PAULO
Morning Call XP - Episódio 13;20200180680008;17/06/2020;18/06/2020;17/06/2021;EXPIRADO;;Banco de Investimentos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);60;PDJ PRODUCOES LTDA;GABRIEL FRAGUGLIA MUSSOLINO LIMA;ACCENTURE AGENCIA INTERATIVA LTDA;11.174.561/0001-23;XP INVESTIMENTOS CCTVM S.A.;02.332.886/0001-04;PDJ PRODUCOES LTDA;35819;18.126.845/0001-93;SP;SAO PAULO
Morning Call XP - Episódio 14;20200181920002;18/06/2020;19/06/2020;18/06/2021;EXPIRADO;;Banco de Investimentos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);57;PDJ PRODUCOES LTDA;GABRIEL FRAGUGLIA MUSSOLINO LIMA;ACCENTURE AGENCIA INTERATIVA LTDA;11.174.561/0001-23;XP INVESTIMENTOS CCTVM S.A.;02.332.886/0001-04;PDJ PRODUCOES LTDA;35819;18.126.845/0001-93;SP;SAO PAULO
Morning Call XP - Episódio 15;20200183140004;19/06/2020;23/06/2020;19/06/2021;EXPIRADO;;Banco de Investimentos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);60;PDJ PRODUCOES LTDA;GABRIEL FRAGUGLIA MUSSOLINO LIMA;ACCENTURE AGENCIA INTERATIVA LTDA;11.174.561/0001-23;XP INVESTIMENTOS CCTVM S.A.;02.332.886/0001-04;PDJ PRODUCOES LTDA;35819;18.126.845/0001-93;SP;SAO PAULO
Morning Call XP - Episódio 16;20200184550001;22/06/2020;23/06/2020;22/06/2021;EXPIRADO;;Banco de Investimentos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);60;PDJ PRODUCOES LTDA;GABRIEL FRAGUGLIA MUSSOLINO LIMA;ACCENTURE AGENCIA INTERATIVA LTDA;11.174.561/0001-23;XP INVESTIMENTOS CCTVM S.A.;02.332.886/0001-04;PDJ PRODUCOES LTDA;35819;18.126.845/0001-93;SP;SAO PAULO
