TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
0061219 OF DIAE 1;20190492310002;05/12/2019;05/12/2019;05/12/2020;EXPIRADO;;Promocional;COMUM;50;20190492310017|20190492310025|20190492310033|20190492310041|20190492310050|20190492310068|20190492310076|20190492310084|20190492310092|20190492310106|20190492310114|20190492310122|20190492310130|20190492310149|20190492310157|20190492310165|20190492310173|20190492310181|20190492310190|20190492310203|20190492310211|20190492310220|20190492310238|20190492310246|20190492310254|20190492310262|20190492310270|20190492310289|20190492310297|20190492310300|20190492310319|20190492310327|20190492310335|20190492310343|20190492310351|20190492310360|20190492310378|20190492310386|20190492310394|20190492310408|20190492310416|20190492310424|20190492310432|20190492310440|20190492310459|20190492310467|20190492310475|20190492310483|20190492310491|20190492310505;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;DILVANA BORGES - ME;JACSON ANDREOLA;T12 COMUNICACAO LTDA. - EPP;78.659.661/0001-10;MASTER ATS SUPERMERCADOS;01.874.166/0015-03;DILVANA BORGES - ME;36511;27.550.830/0001-49;SC;CHAPECO
01 ANO DE GOVERNO;20190526650005;27/12/2019;27/12/2019;27/12/2020;EXPIRADO;;VT;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);60;CENTER FILMES AUDIOVISUAL LTDA;GIOVANNI SERGIO DO REGO;CRIOLA PROPAGANDA LTDA;04.152.108/0001-50;ASSESSORIA DE COMUNICACAO SOCIAL DO GOVERNO DO ESTADO DO RN;00.594.674/0001-61;CENTER FILMES AUDIOVISUAL LTDA;42400;08.714.391/0001-18;RN;NATAL
01 REINAUGURAÇÃO;20190486340000;03/12/2019;03/12/2019;03/12/2020;EXPIRADO;;CONSTRUÇÃO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;MARCELO VIANNA MARINS ***********;MARCELO VIANNA MARINS;REFERENCIA COMUNICACAO E MARKETING LTDA - ME;06.304.220/0001-95;JR COMERCIO DE CIMENTO E CONCRETO LTDA;00.965.861/0001-04;MARCELO VIANNA MARINS ***********;41277;31.325.894/0001-13;RS;PASSO FUNDO
01.247.081/0004-34;20190509200005;16/12/2019;16/12/2019;16/12/2020;EXPIRADO;;Comercial;TELEVENDA / INFOMERCIAL;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;JOZINEI JOSIAS DE LIMA ME;ANA LUCIA BEZERRA SILVA DE LIMA;;NÃO INFORMADO;CESAR CARLOS DOS SANTOS EIRELI;01.247.081/0004-34;JOZINEI JOSIAS DE LIMA ME;31977;15.265.880/0001-03;PE;SANTA CRUZ DO CAPIBARIBE
01/2019;20190496070006;09/12/2019;09/12/2019;09/12/2020;EXPIRADO;;Pré-Vestibular;COMUM;5;20190496070010|20190496070029|20190496070037|20190496070045|20190496070053;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;STARTSTUDIO LTDA;ANA SANTOS MAIA;KERR & CIA LTDA - ME;00.969.346/0001-00;SOCIEDADE EDUCACIONAL PITAGORAS;03.747.807/0001-80;STARTSTUDIO LTDA;17283;10.493.554/0001-21;RS;PELOTAS
02 REINAUGURAÇÃO;20190486440005;03/12/2019;03/12/2019;03/12/2020;EXPIRADO;;CONSTRUÇÃO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;MARCELO VIANNA MARINS ***********;MARCELO VIANNA MARINS;REFERENCIA COMUNICACAO E MARKETING LTDA - ME;06.304.220/0001-95;JR COMERCIO DE CIMENTO E CONCRETO LTDA;00.965.861/0001-04;MARCELO VIANNA MARINS ***********;41277;31.325.894/0001-13;RS;PASSO FUNDO
03 REINAUGURAÇÃO;20190486460006;03/12/2019;03/12/2019;03/12/2020;EXPIRADO;;CONSTRUÇÃO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;MARCELO VIANNA MARINS ***********;MARCELO VIANNA MARINS;REFERENCIA COMUNICACAO E MARKETING LTDA - ME;06.304.220/0001-95;JR COMERCIO DE CIMENTO E CONCRETO LTDA;00.965.861/0001-04;MARCELO VIANNA MARINS ***********;41277;31.325.894/0001-13;RS;PASSO FUNDO
04 REINAUGURAÇÃO;20190486520009;03/12/2019;03/12/2019;03/12/2020;EXPIRADO;;CONSTRUÇÃO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;MARCELO VIANNA MARINS ***********;MARCELO VIANNA MARINS;REFERENCIA COMUNICACAO E MARKETING LTDA - ME;06.304.220/0001-95;JR COMERCIO DE CIMENTO E CONCRETO LTDA;00.965.861/0001-04;MARCELO VIANNA MARINS ***********;41277;31.325.894/0001-13;RS;PASSO FUNDO
05 REINAUGURAÇÃO;20190486560000;03/12/2019;03/12/2019;03/12/2020;EXPIRADO;;CONSTRUÇÃO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;MARCELO VIANNA MARINS ***********;MARCELO VIANNA MARINS;REFERENCIA COMUNICACAO E MARKETING LTDA - ME;06.304.220/0001-95;JR COMERCIO DE CIMENTO E CONCRETO LTDA;00.965.861/0001-04;MARCELO VIANNA MARINS ***********;41277;31.325.894/0001-13;RS;PASSO FUNDO
10º Premio Marcas de Valor;20190495990004;09/12/2019;09/12/2019;09/12/2020;EXPIRADO;;institucional;COMUM;2;20190495990019|20190495990027;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);45;BBR PRODUÇÕES EIRELI - ME;SECUNDO DA SILVA REZENDE FILHO;;NÃO INFORMADO;A GAZETA DO ESPIRITO SANTO RADIO E TV LTDA;27.063.726/0001-20;BBR PRODUÇÕES EIRELI - ME;33698;24.879.526/0001-51;ES;VITORIA
