TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""Amigo""";20150329200007;29/06/2015;29/06/2015;29/06/2016;EXPIRADO;;Chamada;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;PEDRO HENRIQUE SEIFERT KEITEL;PEDRO HENRIQUE SEIFERT KEITEL;;NÃO INFORMADO;2001 VEÍCULOS LTDA;08.676.748/0001-10;PEDRO HENRIQUE SEIFERT KEITEL;3213;07.117.785/0001-26;RS;CRUZ ALTA
"""CDA JUNHO""";20150306570002;12/06/2015;12/06/2015;12/06/2016;EXPIRADO;;Institucional;COMUM;5;20150306570017|20150306570025|20150306570033|20150306570041|20150306570050;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;CASAS DA AGUA MATERIAIS PARA CONSTRUCAO LTDA;13.501.187/0001-59;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""Chef CDA 2015""";20150283350001;01/06/2015;01/06/2015;01/06/2016;EXPIRADO;;Institucional;COMUM;5;20150283350016|20150283350024|20150283350032|20150283350040|20150283350059;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;CASAS DA AGUA MATERIAIS PARA CONSTRUCAO LTDA;13.501.187/0001-59;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""FUTURA VAI MUDAR""";20150327890006;26/06/2015;26/06/2015;26/06/2016;EXPIRADO;;CARRO;COMUM;5;20150327890010|20150327890029|20150327890037|20150327890045|20150327890053;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;MARFISO COMERCIO DE AUTOMOVEIS LTDA;76.818.038/0001-38;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""Recall 05""";20150261580004;20/05/2015;07/06/2015;20/05/2016;EXPIRADO;;Jeep Cherokee;COMUM;5;20150261580019|20150261580027|20150261580035|20150261580043|20150261580051;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);60;LEMONADE PRODUÇÕES ARTÍSTICAS LTDA.;RICARDO HENRIQUE HELLBRUGGE;LEO BURNETT PUBLICIDADE LTDA.;04.895.208/0001-77;FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA;16.701.716/0037-67;LEMONADE PRODUÇÕES ARTÍSTICAS LTDA.;5956;07.870.610/0001-95;SP;SAO PAULO
"""V Chef CDA 2015¿";20150283390003;01/06/2015;01/06/2015;01/06/2016;EXPIRADO;;Institucional;COMUM;5;20150283390018|20150283390026|20150283390034|20150283390042|20150283390050;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);5;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;CASAS DA AGUA MATERIAIS PARA CONSTRUCAO LTDA;13.501.187/0001-59;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
01 A 05 JUL 15;20150332190009;30/06/2015;30/06/2015;30/06/2016;EXPIRADO;;SUPERMERCADO;COMUM;5;20150332190013|20150332190021|20150332190030|20150332190048|20150332190056;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;15;GOD PRODUÇÕES DE VIDEOS LTDA;MARCELO LOURENCO CARLONI;MAURICIO LANDINI-EPP;14.601.097/0001-00;SUPERMERCADO VERAN LTDA.;58.767.252/0001-20;GOD PRODUÇÕES DE VIDEOS LTDA;2000;04.436.575/0001-02;SP;MOGI DAS CRUZES
01/15;20150301220003;10/06/2015;10/06/2015;10/06/2016;EXPIRADO;;TELEFONIA FIXA - FIBRA;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;PRIME FILMES LTDA;DARLAN JORGE SERAFINI;;NÃO INFORMADO;CELANTE SERVICOS DE TELECOMUNICACOES LTDA;03.903.466/0001-95;PRIME FILMES LTDA;19581;05.512.474/0001-36;SC;BRUSQUE
02 lojas;20150323820003;24/06/2015;24/06/2015;24/06/2016;EXPIRADO;;Produtos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;ROMSOFT LTDA;EDUARDO SILVA MACHADO;SOARES E SILVA PUBLICIDADES LTDA;06.257.390/0001-66;COMERCIO E INDUSTRIA EKIPCAR LTDA - EPP;00.730.272/0001-47;ROMSOFT LTDA;3436;03.840.263/0001-05;MG;MONTES CLAROS
03 A 05 JUL 15 IMP;20150332840003;30/06/2015;30/06/2015;30/06/2016;EXPIRADO;;SUPERMERCADO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;GOD PRODUÇÕES DE VIDEOS LTDA;MARCELO LOURENCO CARLONI;MAURICIO LANDINI-EPP;14.601.097/0001-00;SUPERMERCADO VERAN LTDA.;58.767.252/0001-20;GOD PRODUÇÕES DE VIDEOS LTDA;2000;04.436.575/0001-02;SP;MOGI DAS CRUZES
03 A 07 JUN 15;20150283690007;02/06/2015;02/06/2015;02/06/2016;EXPIRADO;;SUPERMERCADO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;GOD PRODUÇÕES DE VIDEOS LTDA;MARCELO LOURENCO CARLONI;MAURICIO LANDINI-EPP;14.601.097/0001-00;SUPERMERCADO VERAN LTDA.;58.767.252/0001-20;GOD PRODUÇÕES DE VIDEOS LTDA;2000;04.436.575/0001-02;SP;MOGI DAS CRUZES
