TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""ARGO""";20250089650002;27/03/2025;08/04/2025;27/03/2026;EXPIRADO;;FIAT TÁ NA MÃO;COMUM;50;20250089650018|20250089650026|20250089650034|20250089650042|20250089650050|20250089650069|20250089650077|20250089650085|20250089650093|20250089650107|20250089650115|20250089650123|20250089650131|20250089650140|20250089650158|20250089650166|20250089650174|20250089650182|20250089650190|20250089650204|20250089650212|20250089650220|20250089650239|20250089650247|20250089650255|20250089650263|20250089650271|20250089650280|20250089650298|20250089650301|20250089650310|20250089650328|20250089650336|20250089650344|20250089650352|20250089650360|20250089650379|20250089650387|20250089650395|20250089650409|20250089650417|20250089650425|20250089650433|20250089650441|20250089650450|20250089650468|20250089650476|20250089650484|20250089650492|20250089650506;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;OUTROS MERCADOS;30;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;MARCELO GEMIGNANI DE CAMARGO;LEO BURNETT NEO COMUNICACAO LTDA.;10.389.403/0001-28;STELLANTIS AUTOMOVEIS BRASIL LTDA.;16.701.716/0001-56;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;49790;41.866.980/0001-97;SP;SAO PAULO
"""EXPO LONDRINA""";20250095850000;01/04/2025;11/04/2025;01/04/2026;REGISTRADO;;FIAT STRADA, FIAT TORO, FIAT TITANO E FIAT FASTBACK;COMUM;5;20250095850015|20250095850023|20250095850031|20250095850040|20250095850058;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;OUTROS MERCADOS;30;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;MARCELO GEMIGNANI DE CAMARGO;LEO BURNETT NEO COMUNICACAO LTDA.;10.389.403/0001-28;STELLANTIS AUTOMOVEIS BRASIL LTDA.;16.701.716/0001-56;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;49790;41.866.980/0001-97;SP;SAO PAULO
"""FASTBACK ABARTH""";20250089580004;27/03/2025;08/04/2025;27/03/2026;EXPIRADO;;FIAT TÁ NA MÃO;COMUM;50;20250089580010|20250089580028|20250089580036|20250089580044|20250089580052|20250089580060|20250089580079|20250089580087|20250089580095|20250089580109|20250089580117|20250089580125|20250089580133|20250089580141|20250089580150|20250089580168|20250089580176|20250089580184|20250089580192|20250089580206|20250089580214|20250089580222|20250089580230|20250089580249|20250089580257|20250089580265|20250089580273|20250089580281|20250089580290|20250089580303|20250089580311|20250089580320|20250089580338|20250089580346|20250089580354|20250089580362|20250089580370|20250089580389|20250089580397|20250089580400|20250089580419|20250089580427|20250089580435|20250089580443|20250089580451|20250089580460|20250089580478|20250089580486|20250089580494|20250089580508;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;OUTROS MERCADOS;30;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;MARCELO GEMIGNANI DE CAMARGO;LEO BURNETT NEO COMUNICACAO LTDA.;10.389.403/0001-28;STELLANTIS AUTOMOVEIS BRASIL LTDA.;16.701.716/0001-56;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;49790;41.866.980/0001-97;SP;SAO PAULO
"""FASTBACK""";20250084700001;24/03/2025;02/04/2025;24/03/2026;EXPIRADO;;FIAT FASTBACK HÍBRIDO;COMUM;50;20250084700017|20250084700025|20250084700033|20250084700041|20250084700050|20250084700068|20250084700076|20250084700084|20250084700092|20250084700106|20250084700114|20250084700122|20250084700130|20250084700149|20250084700157|20250084700165|20250084700173|20250084700181|20250084700190|20250084700203|20250084700211|20250084700220|20250084700238|20250084700246|20250084700254|20250084700262|20250084700270|20250084700289|20250084700297|20250084700300|20250084700319|20250084700327|20250084700335|20250084700343|20250084700351|20250084700360|20250084700378|20250084700386|20250084700394|20250084700408|20250084700416|20250084700424|20250084700432|20250084700440|20250084700459|20250084700467|20250084700475|20250084700483|20250084700491|20250084700505;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;OUTROS MERCADOS;30;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;MARCELO GEMIGNANI DE CAMARGO;LEO BURNETT NEO COMUNICACAO LTDA.;10.389.403/0001-28;STELLANTIS AUTOMOVEIS BRASIL LTDA.;16.701.716/0001-56;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;49790;41.866.980/0001-97;SP;SAO PAULO
"""FASTBACK""";20250086980001;26/03/2025;08/04/2025;26/03/2026;EXPIRADO;;FIAT FASTBACK;COMUM;50;20250086980017|20250086980025|20250086980033|20250086980041|20250086980050|20250086980068|20250086980076|20250086980084|20250086980092|20250086980106|20250086980114|20250086980122|20250086980130|20250086980149|20250086980157|20250086980165|20250086980173|20250086980181|20250086980190|20250086980203|20250086980211|20250086980220|20250086980238|20250086980246|20250086980254|20250086980262|20250086980270|20250086980289|20250086980297|20250086980300|20250086980319|20250086980327|20250086980335|20250086980343|20250086980351|20250086980360|20250086980378|20250086980386|20250086980394|20250086980408|20250086980416|20250086980424|20250086980432|20250086980440|20250086980459|20250086980467|20250086980475|20250086980483|20250086980491|20250086980505;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;OUTROS MERCADOS;30;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;MARCELO GEMIGNANI DE CAMARGO;LEO BURNETT NEO COMUNICACAO LTDA.;10.389.403/0001-28;STELLANTIS AUTOMOVEIS BRASIL LTDA.;16.701.716/0001-56;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;49790;41.866.980/0001-97;SP;SAO PAULO
"""MOBI""";20250089620006;27/03/2025;08/04/2025;27/03/2026;EXPIRADO;;FIAT TÁ NA MÃO;COMUM;50;20250089620011|20250089620020|20250089620038|20250089620046|20250089620054|20250089620062|20250089620070|20250089620089|20250089620097|20250089620100|20250089620119|20250089620127|20250089620135|20250089620143|20250089620151|20250089620160|20250089620178|20250089620186|20250089620194|20250089620208|20250089620216|20250089620224|20250089620232|20250089620240|20250089620259|20250089620267|20250089620275|20250089620283|20250089620291|20250089620305|20250089620313|20250089620321|20250089620330|20250089620348|20250089620356|20250089620364|20250089620372|20250089620380|20250089620399|20250089620402|20250089620410|20250089620429|20250089620437|20250089620445|20250089620453|20250089620461|20250089620470|20250089620488|20250089620496|20250089620500;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;OUTROS MERCADOS;30;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;MARCELO GEMIGNANI DE CAMARGO;LEO BURNETT NEO COMUNICACAO LTDA.;10.389.403/0001-28;STELLANTIS AUTOMOVEIS BRASIL LTDA.;16.701.716/0001-56;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;49790;41.866.980/0001-97;SP;SAO PAULO
"""PULSE ABARTH""";20250086890002;26/03/2025;08/04/2025;26/03/2026;EXPIRADO;;FIAT PULSE ABARTH;COMUM;50;20250086890018|20250086890026|20250086890034|20250086890042|20250086890050|20250086890069|20250086890077|20250086890085|20250086890093|20250086890107|20250086890115|20250086890123|20250086890131|20250086890140|20250086890158|20250086890166|20250086890174|20250086890182|20250086890190|20250086890204|20250086890212|20250086890220|20250086890239|20250086890247|20250086890255|20250086890263|20250086890271|20250086890280|20250086890298|20250086890301|20250086890310|20250086890328|20250086890336|20250086890344|20250086890352|20250086890360|20250086890379|20250086890387|20250086890395|20250086890409|20250086890417|20250086890425|20250086890433|20250086890441|20250086890450|20250086890468|20250086890476|20250086890484|20250086890492|20250086890506;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;OUTROS MERCADOS;30;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;MARCELO GEMIGNANI DE CAMARGO;LEO BURNETT NEO COMUNICACAO LTDA.;10.389.403/0001-28;STELLANTIS AUTOMOVEIS BRASIL LTDA.;16.701.716/0001-56;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;49790;41.866.980/0001-97;SP;SAO PAULO
"""PULSE""";20250084690006;24/03/2025;02/04/2025;24/03/2026;EXPIRADO;;FIAT PULSE HÍBRIDO;COMUM;50;20250084690011|20250084690020|20250084690038|20250084690046|20250084690054|20250084690062|20250084690070|20250084690089|20250084690097|20250084690100|20250084690119|20250084690127|20250084690135|20250084690143|20250084690151|20250084690160|20250084690178|20250084690186|20250084690194|20250084690208|20250084690216|20250084690224|20250084690232|20250084690240|20250084690259|20250084690267|20250084690275|20250084690283|20250084690291|20250084690305|20250084690313|20250084690321|20250084690330|20250084690348|20250084690356|20250084690364|20250084690372|20250084690380|20250084690399|20250084690402|20250084690410|20250084690429|20250084690437|20250084690445|20250084690453|20250084690461|20250084690470|20250084690488|20250084690496|20250084690500;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;OUTROS MERCADOS;30;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;MARCELO GEMIGNANI DE CAMARGO;LEO BURNETT NEO COMUNICACAO LTDA.;10.389.403/0001-28;STELLANTIS AUTOMOVEIS BRASIL LTDA.;16.701.716/0001-56;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;49790;41.866.980/0001-97;SP;SAO PAULO
"""STAND 1"",";20250092780000;31/03/2025;11/04/2025;31/03/2026;EXPIRADO;;HÍBRIDOS FIAT;COMUM;5;20250092780016|20250092780024|20250092780032|20250092780040|20250092780059;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;OUTROS MERCADOS;30;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;MARCELO GEMIGNANI DE CAMARGO;LEO BURNETT NEO COMUNICACAO LTDA.;10.389.403/0001-28;STELLANTIS AUTOMOVEIS BRASIL LTDA.;16.701.716/0001-56;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;49790;41.866.980/0001-97;SP;SAO PAULO
"""STAND 10""";20250093340004;31/03/2025;11/04/2025;31/03/2026;EXPIRADO;;HÍBRIDOS FIAT;COMUM;5;20250093340010|20250093340028|20250093340036|20250093340044|20250093340052;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;OUTROS MERCADOS;30;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;MARCELO GEMIGNANI DE CAMARGO;LEO BURNETT NEO COMUNICACAO LTDA.;10.389.403/0001-28;STELLANTIS AUTOMOVEIS BRASIL LTDA.;16.701.716/0001-56;ESTRATECHGIA AUTOMACAO PRODUCAO E DISTRIBUICAO PUBLICITARIA LTDA;49790;41.866.980/0001-97;SP;SAO PAULO
