TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
""" Ultra magrin 001""";20200272940006;02/09/2020;15/09/2020;02/09/2021;EXPIRADO;;Naturalle;COMUM;8;20200272940011|20200272940020|20200272940038|20200272940046|20200272940054|20200272940062|20200272940070|20200272940089;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;60;G.RS - COMÉRCIO DE PRODUTOS EM DVD E FILMAGENS LTDA;RICARDO SALOMAO VICENTE;H. PUBLICIDADE EIRELI - ME;21.115.751/0001-23;NATURALLE-MARKETING E COMERCIO DE PRODUTOS NATURAIS EIRELI-ME;23.428.788/0001-37;G.RS - COMÉRCIO DE PRODUTOS EM DVD E FILMAGENS LTDA;14847;10.272.906/0001-19;SP;FRANCA
+PraTI;20200270370008;01/09/2020;03/09/2020;01/09/2021;EXPIRADO;;Serviços de Tecnologia da Informação;COMUM;5;20200270370013|20200270370021|20200270370030|20200270370048|20200270370056;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;ALEXANDRE LINCK DA SILVA KLEIN;SAMUEL ROMERO DA SILVA;JKR COMUNICAÇÃO E MARKETING EIRELI;29.211.959/0001-58;JKR COMUNICAÇÃO E MARKETING EIRELI;29.211.959/0001-58;ALEXANDRE LINCK DA SILVA KLEIN;39571;10.698.086/0001-21;RS;NOVO HAMBURGO
01 ATELIE VERAO;20200293920004;18/09/2020;18/09/2020;18/09/2021;EXPIRADO;;Institucional;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;THIAGO DOS SANTOS GOULART - ME;THIAGO DOS SANTOS GOULART;;NÃO INFORMADO;DOUGLAS LOPES SANTANA ***********;33.515.478/0001-03;THIAGO DOS SANTOS GOULART - ME;34079;24.616.069/0001-02;RS;URUGUAIANA
011020 TEASER DIA E;20200309340007;30/09/2020;30/09/2020;30/09/2021;EXPIRADO;;Promocional;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;DILVANA BORGES - ME;JACSON ANDREOLA;T12 COMUNICACAO LTDA. - EPP;78.659.661/0001-10;MASTER ATS SUPERMERCADOS;01.874.166/0015-03;DILVANA BORGES - ME;36511;27.550.830/0001-49;SC;CHAPECO
040920 OF DIAE 1;20200273960000;03/09/2020;03/09/2020;03/09/2021;EXPIRADO;;Promocional;COMUM;30;20200273960016|20200273960024|20200273960032|20200273960040|20200273960059|20200273960067|20200273960075|20200273960083|20200273960091|20200273960105|20200273960113|20200273960121|20200273960130|20200273960148|20200273960156|20200273960164|20200273960172|20200273960180|20200273960199|20200273960202|20200273960210|20200273960229|20200273960237|20200273960245|20200273960253|20200273960261|20200273960270|20200273960288|20200273960296|20200273960300;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;DILVANA BORGES - ME;JACSON ANDREOLA;T12 COMUNICACAO LTDA. - EPP;78.659.661/0001-10;MASTER ATS SUPERMERCADOS;01.874.166/0015-03;DILVANA BORGES - ME;36511;27.550.830/0001-49;SC;CHAPECO
08 Mirador;20200305180005;28/09/2020;28/09/2020;28/09/2021;EXPIRADO;;Institucional;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;THIAGO DOS SANTOS GOULART - ME;THIAGO DOS SANTOS GOULART;;NÃO INFORMADO;VORTEX EMPREENDIMENTOS IMOBILIARIOS LTDA;13.620.491/0001-15;THIAGO DOS SANTOS GOULART - ME;34079;24.616.069/0001-02;RS;URUGUAIANA
0920 PRIMA;20200294350007;18/09/2020;18/09/2020;18/09/2021;EXPIRADO;;Institucional;TELEVENDA / INFOMERCIAL;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;CLAITON LUIZ DOS SANTOS ***********;CLAITON LUIZ DOS SANTOS;;NÃO INFORMADO;TRUYLIA & TRUYLIA LTDA;02.313.091/0001-40;CLAITON LUIZ DOS SANTOS ***********;43974;33.658.570/0001-22;RS;ERECHIM
0920 PRONOV;20200272920005;02/09/2020;02/09/2020;02/09/2021;EXPIRADO;;Institucional;TELEVENDA / INFOMERCIAL;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;CLAITON LUIZ DOS SANTOS ***********;CLAITON LUIZ DOS SANTOS;;NÃO INFORMADO;TRUYLIA & TRUYLIA LTDA;02.313.091/0001-40;CLAITON LUIZ DOS SANTOS ***********;43974;33.658.570/0001-22;RS;ERECHIM
1 MILHÃO;20200306920002;29/09/2020;29/09/2020;29/09/2021;EXPIRADO;;SUPER HIPER MERCADO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);10;MERLINI SOM E IMAGEM LTDA - ME;PEDRO LUIZ FERRO MERLINI;OFICINA DE COMUNICACAO LTDA. - EPP;02.852.456/0001-05;SUPERMERCADOS JAU SERVE LTDA;03.640.467/0001-94;MERLINI SOM E IMAGEM LTDA - ME;16718;11.617.889/0001-77;SP;JAU
10 de 110;20200273630000;03/09/2020;19/09/2020;03/09/2021;EXPIRADO;;Institucional;COMUM;5;20200273630016|20200273630024|20200273630032|20200273630040|20200273630059;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;D.L.R DE CARVALHO PRODUCOES;DANILO ARENAS IREIJO;MONKEY LAND COMUNICACAO LTDA;35.577.948/0001-99;SPORT CLUB CORINTHIANS PAULISTA;61.902.722/0001-26;D.L.R DE CARVALHO PRODUCOES;37081;15.613.660/0001-15;SP;SAO PAULO
