TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""Cubos TV Fechada""";20150145320000;30/03/2015;30/03/2015;30/03/2016;EXPIRADO;;Institucional;COMUM;5;20150145320014|20150145320022|20150145320030|20150145320049|20150145320057;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);30;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;BIONUCLEAR SERVICOS DE MEDICINA NUCLEAR LTDA;01.514.221/0001-40;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""Entre: a mesa é sua.""";20150113550000;11/03/2015;31/03/2015;11/03/2016;EXPIRADO;;Bela Vista Café Colonial;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;DEISE GRAZIELE CAMPOS ***********;JULIANO GUIMARAES AMBROSINI;PROPAGANDAFUTEBOLCLUBE AGENCIA DE PUBLICIDADE E PROPAGANDA LTDA - EPP;07.185.490/0001-97;CAFE COLONIAL BELA VISTA LIMITADA - EPP;05.794.986/0001-32;DEISE GRAZIELE CAMPOS ***********;25590;18.817.440/0001-00;RS;PORTO ALEGRE
"""Frozen"" Musical Infantil";20150093430004;02/03/2015;02/03/2015;02/03/2016;EXPIRADO;;Peça teatral infalntil;COMUM;6;20150093430019|20150093430027|20150093430035|20150093430043|20150093430051;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;VIRTUAL ESTÚDIO: PUBLICIDADE, COMUNICAÇÃO E MARKETING LTDA;PEDRO LOPES DOS REIS NETO;;NÃO INFORMADO;MASSARI PRODUCOES & EVENTOS LTDA - ME;12.404.871/0001-50;VIRTUAL ESTÚDIO: PUBLICIDADE, COMUNICAÇÃO E MARKETING LTDA;25802;18.327.474/0001-08;MG;RIO POMBA
"""Lab 2015 15""";20150128150002;20/03/2015;20/03/2015;20/03/2016;EXPIRADO;;Institucional;COMUM;5;20150128150017|20150128150025|20150128150033|20150128150041|20150128150050;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;ASSOCIACAO SOCIAL GOOD BRASIL;20.162.363/0001-30;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""Lab 2015 30""";20150128180009;20/03/2015;20/03/2015;20/03/2016;EXPIRADO;;Institucional;COMUM;5;20150128180013|20150128180021|20150128180030|20150128180048|20150128180056;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;ASSOCIACAO SOCIAL GOOD BRASIL;20.162.363/0001-30;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""VT OFERTAS BCD 19 A""  "" VT OFERTAS BCD 19 B""";20150101960003;05/03/2015;05/03/2015;05/03/2016;EXPIRADO;;Materiais de Construção;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;PUBBLICITÁ CRIAÇÃO E PRODUÇÃO LTDA ME;ARMANDO RIBAS NETO;PUBBLICITÁ CRIAÇÃO E PRODUÇÃO LTDA ME;91.739.367/0001-87;BCD CASA & CONSTRUCAO LTDA;05.836.676/0001-33;PUBBLICITÁ CRIAÇÃO E PRODUÇÃO LTDA ME;16395;91.739.367/0001-87;RS;SANTA MARIA
"""VT OFERTAS BCD 19 A"" ""VT OFERTAS BCD 19 B""";20150101680000;05/03/2015;05/03/2015;05/03/2016;EXPIRADO;;Materias de construção;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;PUBBLICITÁ CRIAÇÃO E PRODUÇÃO LTDA ME;ARMANDO RIBAS NETO;PUBBLICITÁ CRIAÇÃO E PRODUÇÃO LTDA ME;91.739.367/0001-87;PUBBLICITÁ CRIAÇÃO E PRODUÇÃO LTDA ME;91.739.367/0001-87;PUBBLICITÁ CRIAÇÃO E PRODUÇÃO LTDA ME;16395;91.739.367/0001-87;RS;SANTA MARIA
"""VT OFERTAS BCD 20A ""  ""VTOFERTAS BCD 20B""";20150114460004;11/03/2015;11/03/2015;11/03/2016;EXPIRADO;;Materiais de Construção;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;PUBBLICITÁ CRIAÇÃO E PRODUÇÃO LTDA ME;ARMANDO RIBAS NETO;PUBBLICITÁ CRIAÇÃO E PRODUÇÃO LTDA ME;91.739.367/0001-87;BCD CASA & CONSTRUCAO LTDA;05.836.676/0001-33;PUBBLICITÁ CRIAÇÃO E PRODUÇÃO LTDA ME;16395;91.739.367/0001-87;RS;SANTA MARIA
"""VT OFERTAS BCD 21 A"" ""VT OFERTAS BCD 21 B""";20150128830003;20/03/2015;20/03/2015;20/03/2016;EXPIRADO;;MATERIAIS DE CONSTRUÇÃO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;PUBBLICITÁ CRIAÇÃO E PRODUÇÃO LTDA ME;ARMANDO RIBAS NETO;PUBBLICITÁ CRIAÇÃO E PRODUÇÃO LTDA ME;91.739.367/0001-87;BCD CASA & CONSTRUCAO LTDA;05.836.676/0001-33;PUBBLICITÁ CRIAÇÃO E PRODUÇÃO LTDA ME;16395;91.739.367/0001-87;RS;SANTA MARIA
"""VT OFERTAS BCD 21 A"" ""VT OFERTAS BCD 21 B""";20150128940003;20/03/2015;20/03/2015;20/03/2016;EXPIRADO;;MATERIAIS DE CONSTRUÇÃO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;PUBBLICITÁ CRIAÇÃO E PRODUÇÃO LTDA ME;ARMANDO RIBAS NETO;PUBBLICITÁ CRIAÇÃO E PRODUÇÃO LTDA ME;91.739.367/0001-87;BCD CASA & CONSTRUCAO LTDA;05.836.676/0001-33;PUBBLICITÁ CRIAÇÃO E PRODUÇÃO LTDA ME;16395;91.739.367/0001-87;RS;SANTA MARIA
