TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
0,98Nhac;20140567980000;26/02/2014;11/03/2014;26/02/2015;EXPIRADO;;Bibsfiha;COMUM;50;20140567980014|20140567980022|20140567980030|20140567980049|20140567980057|20140567980065|20140567980073|20140567980081|20140567980090|20140567980103|20140567980111|20140567980120|20140567980138|20140567980146|20140567980154|20140567980162|20140567980170|20140567980189|20140567980197|20140567980200|20140567980219|20140567980227|20140567980235|20140567980243|20140567980251|20140567980260|20140567980278|20140567980286|20140567980294|20140567980308|20140567980316|20140567980324|20140567980332|20140567980340|20140567980359|20140567980367|20140567980375|20140567980383|20140567980391|20140567980405|20140567980413|20140567980421|20140567980430|20140567980448|20140567980456|20140567980464|20140567980472|20140567980480|20140567980499|20140567980502;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;10;ULTIMA FILMES EIRELI;RONALDO CAMPOS MOREIRA;PBC COMUNICACAO LTDA;73.090.482/0001-91;PLATINA GESTAO DE NEGOCIOS LTDA.;00.186.264/0001-81;ULTIMA FILMES EIRELI;538;62.684.444/0001-40;SP;SAO PAULO
06 e 07 MARÇO;20140575200000;05/03/2014;05/03/2014;05/03/2015;EXPIRADO;;VARIEDADES;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);45;FALLKNER RIBEIRO BORGES - PRODUCOES LTDA;FALLKNER RIBEIRO BORGES;;NÃO INFORMADO;ANTONIO PAVAN DE LIMA & CIA LTDA ME;08.623.676/0001-43;FALLKNER RIBEIRO BORGES - PRODUCOES LTDA;23219;14.865.072/0001-06;PR;FOZ DO IGUACU
1 DE ABRIL;20140608340000;27/03/2014;27/03/2014;27/03/2015;EXPIRADO;;MATERIAL DE CONSTRUÇÃO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;CARTELATV EIRELI;GUILHERME GOMES PINTO;BRIEFING MARKETING LTDA;10.491.984/0001-04;DEPOSITO DE MATERIAIS DE CONSTRUCAO IPIRANGA LTDA - EPP;28.945.384/0001-34;CARTELATV EIRELI;19803;13.481.097/0001-43;RJ;CAMPOS DOS GOYTACAZES
1 MILHÃO DE PRESENTE;20130403700004;24/10/2013;31/03/2014;24/10/2014;EXPIRADO;;NATAL;COMUM;5;20130403700019|20130403700027|20130403700035|20130403700043|20130403700051;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;ATELIE PRODUCOES LTDA;LUCIANA DE ANDRADE SIQUEIRA;AMPLA SERVICOS DE PROPAGANDA E PUBLICIDADE LTDA;11.145.893/0001-80;ASSOCIACAO DOS LOJISTAS DO SHOPPING CENTER RECIFE;11.674.553/0001-46;ATELIE PRODUCOES LTDA;3286;04.149.422/0001-84;PE;RECIFE
10 ANOS;20140588080008;14/03/2014;14/03/2014;14/03/2015;EXPIRADO;;SHOPPING CENTER;COMUM;3;20140588080020|20140588080039;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);60;GENIUS AT WORK PRODUCOES CINEMATOGRAFICAS LTDA;REGINALDO DA SILVA COSTA;LUIZ G RODRIGUES JUNIOR;26.787.440/0001-24;ASSOCIACAO DOS LOJISTAS DO PANTANAL SHOPPING;07.560.554/0001-92;GENIUS AT WORK PRODUCOES CINEMATOGRAFICAS LTDA;25056;17.819.406/0001-01;MT;CUIABA
10 e 11 MARÇO;20140580320000;07/03/2014;07/03/2014;07/03/2015;EXPIRADO;;VARIEDADES;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);45;FALLKNER RIBEIRO BORGES - PRODUCOES LTDA;FALLKNER RIBEIRO BORGES;;NÃO INFORMADO;ANTONIO PAVAN DE LIMA & CIA LTDA ME;08.623.676/0001-43;FALLKNER RIBEIRO BORGES - PRODUCOES LTDA;23219;14.865.072/0001-06;PR;FOZ DO IGUACU
10º Ceo's Family Workshop;20140555530004;14/02/2014;20/03/2014;14/02/2015;EXPIRADO;;workshop;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;PAULA PESSOTTI PRODUÇÕES LTDA. ME - BAIXADO;ANA PAULA GUALBERTO PESSOTI;;NÃO INFORMADO;DORIA ASSOCIADOS CONSULTORIA LTDA.;11.448.516/0001-10;PAULA PESSOTTI PRODUÇÕES LTDA. ME - BAIXADO;16105;02.737.528/0001-73;SP;SAO PAULO
10º Feirão da Caixa;20140578040003;06/03/2014;06/03/2014;06/03/2015;EXPIRADO;;Serviço;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;APOENA PRODUÇÕES LTDA;LUIZ SERGIO DA SILVA VIEIRA;INTER MARKETING E PROPAGANDA LTDA;00.404.421/0001-88;PACIFIC ORGANIZADORA DE EVENTOS LTDA;04.595.133/0001-09;APOENA PRODUÇÕES LTDA;16214;11.258.339/0001-09;SE;ARACAJU
11º FEIRÃO ATACADÃO GALPÃO;20140594810004;19/03/2014;19/03/2014;19/03/2015;EXPIRADO;;MÓVEIS;COMUM;5;20140594810019|20140594810027|20140594810035|20140594810043|20140594810051;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;RAFAEL DE OLIVEIRA MAROUBO PRODUCOES;RAFAEL DE OLIVEIRA MAROUBO;DANIELA CASSITA PAIOLA - ME;09.014.152/0001-18;TARCIS MARQUES;60.359.874/0001-61;RAFAEL DE OLIVEIRA MAROUBO PRODUCOES;16939;11.840.593/0001-10;SP;BAURU
13  e 14 MARÇO;20140585450009;12/03/2014;12/03/2014;12/03/2015;EXPIRADO;;VARIEDADES;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);45;FALLKNER RIBEIRO BORGES - PRODUCOES LTDA;FALLKNER RIBEIRO BORGES;;NÃO INFORMADO;ANTONIO PAVAN DE LIMA & CIA LTDA ME;08.623.676/0001-43;FALLKNER RIBEIRO BORGES - PRODUCOES LTDA;23219;14.865.072/0001-06;PR;FOZ DO IGUACU
