TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""Futebol 2014""";20140516770008;13/01/2014;13/01/2014;13/01/2015;EXPIRADO;;Institucional;COMUM;3;20140516770012|20140516770020|20140516770039;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);5;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;CASAS DA AGUA MATERIAIS PARA CONSTRUCAO LTDA;13.501.187/0001-59;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
"""NOSSO MUNDO A ""/   ""NOSSO MUNDO B""";20140523960003;20/01/2014;20/01/2014;20/01/2015;EXPIRADO;;EMPRESA NO RAMO ENSINO ESCOLAR;COMUM;2;20140523960018|20140523960026;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;FRANCISLEIA DE MELO RODRIGUES FERREIRA FRANCO ME;MAURI RODRIGUES DE SOUSA FILHO;ANDRE FERREIRA FRANCO - EPP;00.829.557/0001-30;CENTRO EDUCACIONAL NOSSO LAR;06.134.544/0001-22;FRANCISLEIA DE MELO RODRIGUES FERREIRA FRANCO ME;4170;07.378.735/0001-00;MG;ARAGUARI
"""Verão 2014""";20140516820005;13/01/2014;13/01/2014;13/01/2015;EXPIRADO;;Institucional;COMUM;5;20140516820010|20140516820028|20140516820036|20140516820044|20140516820052;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;CLAUDIOMAR JOSE VILL;;NÃO INFORMADO;CASAS DA AGUA MATERIAIS PARA CONSTRUCAO LTDA;13.501.187/0001-59;KOMODO PRODUÇÃO AUDIOVISUAL LTDA-ME;15896;09.414.025/0001-06;SC;FLORIANOPOLIS
#ficadica;20140514020001;10/01/2014;10/01/2014;10/01/2015;EXPIRADO;;ESCOLA DE IDIOMAS;COMUM;1;20140514020016;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;A. S. CALABRE NETO & CIA. LTDA;ALFREDO SORIA CALABRE JUNIOR;PLUG - PUBLICIDADE E MARKETING LTDA - ME;06.078.961/0001-03;MULTI BRASIL FRANQUEADORA E PARTICIPACOES LTDA.;10.835.410/0001-06;A. S. CALABRE NETO & CIA. LTDA;790;05.096.228/0001-40;SP;SANTOS
#ficadicaa;20140514580007;10/01/2014;10/01/2014;10/01/2015;EXPIRADO;;ESCOLA DE IDIOMAS;COMUM;1;20140514580011;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;A. S. CALABRE NETO & CIA. LTDA;ALFREDO SORIA CALABRE JUNIOR;PLUG - PUBLICIDADE E MARKETING LTDA - ME;06.078.961/0001-03;ASSOCIACAO DA REGIONAL SP5 FRANQUEADOS WIZARD;19.358.587/0001-33;A. S. CALABRE NETO & CIA. LTDA;790;05.096.228/0001-40;SP;SANTOS
"''SALDÃO 2014""";20140507090008;03/01/2014;03/01/2014;03/01/2015;EXPIRADO;;EMPRESA NO RAMO DE VENDAS DE CALÇADOS;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;FRANCISLEIA DE MELO RODRIGUES FERREIRA FRANCO ME;MAURI RODRIGUES DE SOUSA FILHO;OLHO VIVO COMUNICACAO LTDA - ME;04.206.555/0001-45;SILVEIRA CALCADOS LTDA - ME;17.794.173/0001-21;FRANCISLEIA DE MELO RODRIGUES FERREIRA FRANCO ME;4170;07.378.735/0001-00;MG;ARAGUARI
03 e 04  de FEVEREIRO;20140537700009;31/01/2014;31/01/2014;31/01/2015;EXPIRADO;;VARIEDADES;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);45;FALLKNER RIBEIRO BORGES - PRODUCOES LTDA;FALLKNER RIBEIRO BORGES;;NÃO INFORMADO;ANTONIO PAVAN DE LIMA & CIA LTDA ME;08.623.676/0001-43;FALLKNER RIBEIRO BORGES - PRODUCOES LTDA;23219;14.865.072/0001-06;PR;FOZ DO IGUACU
09 e 10 JANEIRO;20140510280009;07/01/2014;07/01/2014;07/01/2015;EXPIRADO;;VARIEDADES;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);45;FALLKNER RIBEIRO BORGES - PRODUCOES LTDA;FALLKNER RIBEIRO BORGES;;NÃO INFORMADO;ANTONIO PAVAN DE LIMA & CIA LTDA ME;08.623.676/0001-43;FALLKNER RIBEIRO BORGES - PRODUCOES LTDA;23219;14.865.072/0001-06;PR;FOZ DO IGUACU
1 ANOS;20140518450000;14/01/2014;14/01/2014;14/01/2015;EXPIRADO;;IMPORTADOS;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;F. R. DAMASCENO;FRANCINALDO RODRIGUES DAMASCENO;;NÃO INFORMADO;SANTAREM COMERCIO DE ALIMENTOS E IMPORTADOS LTDA - ME;13.936.143/0001-51;F. R. DAMASCENO;23432;16.456.567/0001-07;PA;SANTAREM
1 DIA;20140538200000;31/01/2014;31/01/2014;31/01/2015;EXPIRADO;;SUPERMERCADO;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;BASE - VIDEO PRODUÇÕES E MARK. POLÍTICO LTDA.;ELISAFAN HUMBERTO SOARES;;NÃO INFORMADO;TEODORO ANTONIO FERREIRA & CIA LTDA.;21.060.975/0001-85;BASE - VIDEO PRODUÇÕES E MARK. POLÍTICO LTDA.;17549;08.594.967/0001-50;MG;ITUIUTABA
10 Semanas;20140523210004;17/01/2014;25/01/2014;17/01/2015;EXPIRADO;;Programa de emagrecimento;COMUM;5;20140523210019|20140523210027|20140523210035|20140523210043|20140523210051;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;EDMILSON CONCEIÇÃO DOS SANTOS;EDMILSON CONCEICAO DOS SANTOS;;NÃO INFORMADO;BODYCHANGE DO BRASIL PRESTACAO DE SERVICOS LTDA.;13.868.653/0001-39;EDMILSON CONCEIÇÃO DOS SANTOS;23353;15.842.322/0001-55;BA;SALVADOR
10 e CIA INST;20140520330009;15/01/2014;15/01/2014;15/01/2015;EXPIRADO;;LOJA;COMUM;2;20140520330013|20140520330021;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;TELEVISAO OESTE BAIANO LTDA;MELQUISEDEQUE MANO DOS SANTOS;;NÃO INFORMADO;TELEVISAO OESTE BAIANO LTDA;16.395.923/0001-20;TELEVISAO OESTE BAIANO LTDA;3948;16.395.923/0001-20;BA;BARREIRAS
100 unidades;20140525920009;21/01/2014;21/01/2014;21/01/2015;EXPIRADO;;veículos novos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;THALLYS MOREIRA PINHEIRO DE BRITO *********** - BAIXADO;THALLYS MOREIRA PINHEIRO DE BRITO;ADOLFO FERREIRA RATES - ME;01.185.689/0001-39;NOVO RIO CARIRI COMERCIO DE VEICULOS LTDA.;18.602.587/0001-74;THALLYS MOREIRA PINHEIRO DE BRITO *********** - BAIXADO;20724;14.926.233/0001-24;CE;CRATO
12 Anos de Escravidão Dia;20140528660008;23/01/2014;31/01/2014;23/01/2015;EXPIRADO;;12 Anos de Escravidão;COMUM;2;20140528660012|20140528660020;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;OUTROS MERCADOS;30;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);RONALD SIDI;;NÃO INFORMADO;TELECINE PROGRAMACAO DE FILMES LTDA;00.252.848/0001-08;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);50;00.811.990/0001-48;RJ;RIO DE JANEIRO
13;20140507930006;06/01/2014;17/01/2014;06/01/2015;EXPIRADO;ARGENTINA;NOVO FORD FOCUS 2014;COMUM;5;20140507930010|20140507930029|20140507930037|20140507930045|20140507930053;OBRA AUDIOVISUAL PUBLICITÁRIA ESTRANGEIRA;TODOS OS SEGMENTOS DE MERCADO;30;;MATEUS DE PAULA SANTOS;WUNDERMAN THOMPSON COMUNICACAO LTDA;56.927.221/0001-64;FORD MOTOR COMPANY BRASIL LTDA;03.470.727/0001-20;LOBO MULTIMIDIA SERVIÇOS E PARTICIPAÇÕES LTDA.;881;05.080.805/0001-06;SP;SAO PAULO
13 E 14 JANEIRO;20140515970003;13/01/2014;13/01/2014;13/01/2015;EXPIRADO;;VARIEDADES;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);45;FALLKNER RIBEIRO BORGES - PRODUCOES LTDA;FALLKNER RIBEIRO BORGES;;NÃO INFORMADO;ANTONIO PAVAN DE LIMA & CIA LTDA ME;08.623.676/0001-43;FALLKNER RIBEIRO BORGES - PRODUCOES LTDA;23219;14.865.072/0001-06;PR;FOZ DO IGUACU
14 FEV FEIRAO 30;20140538150002;31/01/2014;31/01/2014;31/01/2015;EXPIRADO;;MOVEIS;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;DANIEL PARRA MALACHIAS;DANIEL PARRA MALACHIAS;MUDDI PUBLICIDADE LTDA - EPP;13.024.091/0001-47;ROGE MOVEIS ELETRODOMESTICOS E ENXOVAIS LTDA;49.566.854/0001-29;DANIEL PARRA MALACHIAS;23866;17.868.529/0001-24;SP;SOROCABA
15 ABC Feve;20140531720008;27/01/2014;27/01/2014;27/01/2015;EXPIRADO;;Supermercado;COMUM;30;20140531720012|20140531720020|20140531720039|20140531720047|20140531720055|20140531720063|20140531720071|20140531720080|20140531720098|20140531720101|20140531720110|20140531720128|20140531720136|20140531720144|20140531720152|20140531720160|20140531720179|20140531720187|20140531720195|20140531720209|20140531720217|20140531720225|20140531720233|20140531720241|20140531720250|20140531720268|20140531720276|20140531720284|20140531720292|20140531720306;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;IMAGINARE FILMES PRODUCOES LTDA;FABRICIO GONCALVES SASSIOTO;SOLUTION COMUNICACAO LTDA;01.882.994/0001-80;ADICAO DISTRIBUICAO EXPRESS LTDA;04.149.637/0012-58;IMAGINARE FILMES PRODUCOES LTDA;24371;17.997.235/0001-00;MG;UBERLANDIA
16 e 17 JANEIRO;20140518440005;14/01/2014;14/01/2014;14/01/2015;EXPIRADO;;VARIEDADES;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);45;FALLKNER RIBEIRO BORGES - PRODUCOES LTDA;FALLKNER RIBEIRO BORGES;;NÃO INFORMADO;ANTONIO PAVAN DE LIMA & CIA LTDA ME;08.623.676/0001-43;FALLKNER RIBEIRO BORGES - PRODUCOES LTDA;23219;14.865.072/0001-06;PR;FOZ DO IGUACU
17ª Mostra de Cinema de Tiradentes;20140514750000;10/01/2014;11/01/2014;10/01/2015;EXPIRADO;;Mostra de Cinema;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;LUCAS PEREIRA DE SOUZA ***********.;LUCAS PEREIRA DE SOUZA;;NÃO INFORMADO;UNIVERSO PRODUÇÃO LTDA;00.246.471/0001-84;LUCAS PEREIRA DE SOUZA ***********.;23108;17.324.891/0001-34;MG;BELO HORIZONTE
19° Festival do Chopp;20140529520005;24/01/2014;24/01/2014;24/01/2015;EXPIRADO;;Evento Filantrópico de Cunho Social;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;ZARA CECÍLIA DOS SANTOS DULOR;ALVARO TRINDADE VALE;;NÃO INFORMADO;LIONS CLUBE URUGUAIANA TRES FRONTEIRAS;92.463.215/0001-67;ZARA CECÍLIA DOS SANTOS DULOR;3910;04.242.922/0001-66;RS;URUGUAIANA
1º Lugar;20140521530001;16/01/2014;24/01/2014;16/01/2015;EXPIRADO;;Institucional;COMUM;5;20140521530016|20140521530024|20140521530032|20140521530040|20140521530059;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;SALAS DE EXIBIÇÃO;30;NOVA CONTINENTAL PRODUÇÕES CINEMATOGRÁFICAS LTDA EPP;FABRICIO CANNAVEZES DE CARVALHO;FSA COMUNICACAO LTDA;14.418.736/0001-99;COLÉGIO ANGLO AMERICANO LTDA - VOLTA REDONDA;10.457.626/0002-66;NOVA CONTINENTAL PRODUÇÕES CINEMATOGRÁFICAS LTDA EPP;6518;07.610.916/0001-02;RJ;RIO DE JANEIRO
2 Anos;20140516920000;13/01/2014;13/01/2014;13/01/2015;EXPIRADO;;Concessionária;TELEVENDA / INFOMERCIAL;1;20140516920014;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;ARAGÃO COMUNICAÇÃO LTDA;MARCUS VINICIUS DE ARAGAO COSTA;ARAGAO PUBLICIDADE LTDA - EPP;02.298.148/0001-80;DIVEPE AUTOMOVEIS LTDA;14.016.378/0001-98;ARAGÃO COMUNICAÇÃO LTDA;22696;14.925.243/0001-45;RN;NATAL
2 EDIÇÃO VEST URI;20140507420008;03/01/2014;03/01/2014;03/01/2015;EXPIRADO;;vestibular;COMUM;5;20140507420012|20140507420020|20140507420039|20140507420047;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;FINISH PRODUTORA AUDIOVISUAL LTDA;JOSE EVANDRO RIGON;S C GARCIA & DE AVILA LTDA - EPP;91.097.584/0001-10;FUNDACAO REGIONAL INTEGRADA;96.216.841/0006-14;FINISH PRODUTORA AUDIOVISUAL LTDA;18403;10.949.455/0001-01;RS;SANTA MARIA
20 e 21 JANEIRO;20140523030006;17/01/2014;17/01/2014;17/01/2015;EXPIRADO;;VARIEDADES;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);45;FALLKNER RIBEIRO BORGES - PRODUCOES LTDA;FALLKNER RIBEIRO BORGES;;NÃO INFORMADO;ANTONIO PAVAN DE LIMA & CIA LTDA ME;08.623.676/0001-43;FALLKNER RIBEIRO BORGES - PRODUCOES LTDA;23219;14.865.072/0001-06;PR;FOZ DO IGUACU
2014 Alpha Paraiba 01/05;20140537880007;31/01/2014;31/01/2014;31/01/2015;EXPIRADO;;IMOBILIÁRIO;COMUM;5;20140537880011|20140537880020|20140537880038|20140537880046|20140537880054;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;PROVIDEO - PRODUCAO AUDIO VISUAL - EIRELI;DANIELA CARDOSO SPAZIANI;BRANDBOOM COMUNICACAO LTDA - ME;10.481.423/0001-24;ALPHAVILLE PARAIBA / ALPHAVILLE EMPREEND IMOB LTDA;16.874.459/0001-54;PROVIDEO - PRODUCAO AUDIO VISUAL - EIRELI;23625;13.411.332/0001-00;BA;SALVADOR
