TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
+B DEZEMBRO;20250383770001;26/11/2025;26/11/2025;26/11/2026;REGISTRADO;;DIVERSOS;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;A COSTA PANTOJA CUNHA PRODUCOES;THIAGO VINICIUS QUEIROZ CUNHA;DUPLLA COMUNICACAO LTDA - ME;09.413.663/0001-02;REDE SUPERMERCADO MAIS BARATO LTDA;13.269.933/0004-73;A COSTA PANTOJA CUNHA PRODUCOES;21608;13.315.637/0001-19;PA;ANANINDEUA
01DEZBA25AG;20250389510001;28/11/2025;28/11/2025;28/11/2026;REGISTRADO;;PROMOCIONAL;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;JOAO GABRIEL BALBI Y GONZALES ***********;JOAO GABRIEL BALBI Y GONZALES;GP2 SOLUCOES PREDIAIS LTDA;31.068.273/0001-00;ARMAZEM DO GRAO LTDA;09.336.989/0001-83;JOAO GABRIEL BALBI Y GONZALES ***********;51518;39.817.850/0001-12;RJ;PETROPOLIS
05NOVBA25AG;20250354120002;04/11/2025;04/11/2025;04/11/2026;REGISTRADO;;PROMOCIONAL;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;JOAO GABRIEL BALBI Y GONZALES ***********;JOAO GABRIEL BALBI Y GONZALES;GP2 SOLUCOES PREDIAIS LTDA;31.068.273/0001-00;ARMAZEM DO GRAO LTDA;09.336.989/0001-83;JOAO GABRIEL BALBI Y GONZALES ***********;51518;39.817.850/0001-12;RJ;PETROPOLIS
07NOVBA25AG;20250357610000;06/11/2025;06/11/2025;06/11/2026;REGISTRADO;;PROMOCIONAL;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;JOAO GABRIEL BALBI Y GONZALES ***********;JOAO GABRIEL BALBI Y GONZALES;GP2 SOLUCOES PREDIAIS LTDA;31.068.273/0001-00;ARMAZEM DO GRAO LTDA;09.336.989/0001-83;JOAO GABRIEL BALBI Y GONZALES ***********;51518;39.817.850/0001-12;RJ;PETROPOLIS
10 - VENDAS - 16/11/25;20250355980005;05/11/2025;05/11/2025;05/11/2026;REGISTRADO;;TITULO DE CAPITALIZAÇÃO;COMUM;3;20250355980010|20250355980029|20250355980037;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;10;BATUTA FILMES LTDA;ALEXANDRE MILIANI;MRW PARTICIPACOES SOROCABA LTDA - EPP;21.825.829/0001-01;BANCO DE OLHOS DE SOROCABA;50.795.566/0001-25;BATUTA FILMES LTDA;2834;07.026.323/0001-01;SP;SOROCABA
10 - VENDAS - 23/11/25;20250362640001;11/11/2025;11/11/2025;11/11/2026;REGISTRADO;;TITULO DE CAPITALIZAÇÃO;COMUM;3;20250362640017|20250362640025|20250362640033;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;10;BATUTA FILMES LTDA;ALEXANDRE MILIANI;MRW PARTICIPACOES SOROCABA LTDA - EPP;21.825.829/0001-01;BANCO DE OLHOS DE SOROCABA;50.795.566/0001-25;BATUTA FILMES LTDA;2834;07.026.323/0001-01;SP;SOROCABA
10NOV25AG;20250359880005;07/11/2025;07/11/2025;07/11/2026;REGISTRADO;;PROMOCIONAL;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;JOAO GABRIEL BALBI Y GONZALES ***********;JOAO GABRIEL BALBI Y GONZALES;GP2 SOLUCOES PREDIAIS LTDA;31.068.273/0001-00;ARMAZEM DO GRAO LTDA;09.336.989/0001-83;JOAO GABRIEL BALBI Y GONZALES ***********;51518;39.817.850/0001-12;RJ;PETROPOLIS
11° CONGRESSO MINEIRO DE VEREADORES;20250347610008;30/10/2025;11/11/2025;30/10/2026;REGISTRADO;;Feiras e Eventos;COMUM;5;20250347610013|20250347610021|20250347610030|20250347610048|20250347610056;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;PLANETA LOCACOES E VIDEOS LTDA;LEONARDO LUIZ FONTES MOREIRA;;NÃO INFORMADO;ASSOCIACAO MINEIRA DE MUNICIPIOS;20.513.859/0001-01;PLANETA LOCACOES E VIDEOS LTDA;2683;06.186.483/0001-47;MG;BELO HORIZONTE
12NOV25AG;20250363030002;11/11/2025;11/11/2025;11/11/2026;REGISTRADO;;PROMOCIONAL;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;JOAO GABRIEL BALBI Y GONZALES ***********;JOAO GABRIEL BALBI Y GONZALES;GP2 SOLUCOES PREDIAIS LTDA;31.068.273/0001-00;ARMAZEM DO GRAO LTDA;09.336.989/0001-83;JOAO GABRIEL BALBI Y GONZALES ***********;51518;39.817.850/0001-12;RJ;PETROPOLIS
1435918 - NATHAN - QUIMICA IND;20250354850000;05/11/2025;05/11/2025;05/11/2026;REGISTRADO;;Produtos de limpeza;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;RECORD PROMOÇÃO DE EVENTOS E ENTRETENIMENTO LTDA;FABIO REDIGOLO DA SILVA;;NÃO INFORMADO;NATHAN - QUIMICA INDUSTRIA E COMERCIO LTDA;02.658.395/0001-40;RECORD PROMOÇÃO DE EVENTOS E ENTRETENIMENTO LTDA;14534;04.552.791/0001-13;SP;SAO PAULO
