TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
#SUMULAJÁ;20230280810000;10/08/2023;31/08/2023;10/08/2024;EXPIRADO;;FILMES PARA CAMPANHA DE FINANCIAMENTO;COMUM;5;20230280810016|20230280810024|20230280810032|20230280810040|20230280810059;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;15;MALI ESTUDIO GRAFICO LTDA;CAIO MONTANARI RAMOS;BABEL AZZA AGENCIA DE PUBLICIDADE LTDA;20.877.608/0001-06;WEBMOTORS S.A.;03.347.828/0001-09;MALI ESTUDIO GRAFICO LTDA;32607;05.841.511/0001-50;SP;SAO PAULO
01 VAREJO BAIANAO;20230262780006;28/07/2023;01/08/2023;28/07/2024;EXPIRADO;;01 VAREJO BAIANAO;COMUM;50;20230262780011|20230262780020|20230262780038|20230262780046|20230262780054|20230262780062|20230262780070|20230262780089|20230262780097|20230262780100|20230262780119|20230262780127|20230262780135|20230262780143|20230262780151|20230262780160|20230262780178|20230262780186|20230262780194|20230262780208|20230262780216|20230262780224|20230262780232|20230262780240|20230262780259|20230262780267|20230262780275|20230262780283|20230262780291|20230262780305|20230262780313|20230262780321|20230262780330|20230262780348|20230262780356|20230262780364|20230262780372|20230262780380|20230262780399|20230262780402|20230262780410|20230262780429|20230262780437|20230262780445|20230262780453|20230262780461|20230262780470|20230262780488|20230262780496|20230262780500;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;LAMPARINA ANIMACAO E PRODUCAO DE VIDEOS LTDA;ADRIANO FONTES PASSOS;;NÃO INFORMADO;RAFAEL BACETTO LTDA;36.213.646/0001-02;LAMPARINA ANIMACAO E PRODUCAO DE VIDEOS LTDA;21880;15.667.476/0001-58;SE;ARACAJU
03375419000116;20230269940009;02/08/2023;02/08/2023;02/08/2024;EXPIRADO;;Escola;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);7;M T GARRUTH STUDIO;MARCELO TEIXEIRA GARRUTH;C B TEIXEIRA PUBLICIDADE - ME;26.181.464/0001-35;I P E - INSTITUTO DE PESQUISAS EDUCACIONAIS LTDA - EPP;03.375.419/0001-16;M T GARRUTH STUDIO;20570;12.476.637/0001-38;ES;CACHOEIRO DE ITAPEMIRIM
1 OPEN DIÁRIO FM DE BEACH TENNIS;20230274250007;04/08/2023;09/08/2023;04/08/2024;EXPIRADO;;Divulgação Beach Tennis;COMUM;50;20230274250012|20230274250020|20230274250039|20230274250047|20230274250055|20230274250063|20230274250071|20230274250080|20230274250098|20230274250101|20230274250110|20230274250128|20230274250136|20230274250144|20230274250152|20230274250160|20230274250179|20230274250187|20230274250195|20230274250209|20230274250217|20230274250225|20230274250233|20230274250241|20230274250250|20230274250268|20230274250276|20230274250284|20230274250292|20230274250306|20230274250314|20230274250322|20230274250330|20230274250349|20230274250357|20230274250365|20230274250373|20230274250381|20230274250390|20230274250403|20230274250411|20230274250420|20230274250438|20230274250446|20230274250454|20230274250462|20230274250470|20230274250489|20230274250497|20230274250500;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;MIDIA CENTER SERVICOS DE PRODUCAO MUSICAL, CINEMATOGRAFICA E EVENTOS LTDA;IVALDO KLEBER BARROS;LATINA COMUNICADORES LTDA;18.226.476/0001-00;RADIO BELEM FM LTDA;03.758.113/0001-49;MIDIA CENTER SERVICOS DE PRODUCAO MUSICAL, CINEMATOGRAFICA E EVENTOS LTDA;16249;07.072.916/0001-04;PA;BELEM
11º Festival da Linguiça de Bragança Paulista;20230284990003;14/08/2023;14/08/2023;14/08/2024;EXPIRADO;BRASIL;Festival de Linguiça;COMUM;2;20230284990019|20230284990027;OBRA AUDIOVISUAL PUBLICITÁRIA ESTRANGEIRA;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);6;;;A. S. DE OLIVEIRA - COMUNICACOES;19.832.494/0001-07;ASSOCIACAO DOS PRODUTORES DE LINGUICAS E EMBUTIDOS DE BRAGANCA PAULISTA - ALBRAG;26.235.707/0001-70;JULIANA PIRES DE OLIVEIRA ZAMPER;29973;PESSOA FÍSICA;SP;BRAGANCA PAULISTA
11º Festival da Linguiça de Bragança Paulista 15;20230285000007;14/08/2023;14/08/2023;14/08/2024;EXPIRADO;BRASIL;Festival de Linguiça;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA ESTRANGEIRA;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;;;A. S. DE OLIVEIRA - COMUNICACOES;19.832.494/0001-07;ASSOCIACAO DOS PRODUTORES DE LINGUICAS E EMBUTIDOS DE BRAGANCA PAULISTA - ALBRAG;26.235.707/0001-70;JULIANA PIRES DE OLIVEIRA ZAMPER;29973;PESSOA FÍSICA;SP;BRAGANCA PAULISTA
12 Feira Noivas Douradas;20230271970009;03/08/2023;03/08/2023;03/08/2024;EXPIRADO;;Shopping Avenida Center;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;I. COM AGENCIA DE PROPAGANDA E PUBLICIDADE EIRELI;IVANIR SIQUEIRA DE SOUZA ALMEIDA;I. COM AGENCIA DE PROPAGANDA E PUBLICIDADE EIRELI;17.459.216/0001-12;CONDOMINIO SHOPPING AVENIDA CENTER DE DOURADOS;07.989.798/0001-95;I. COM AGENCIA DE PROPAGANDA E PUBLICIDADE EIRELI;33332;17.459.216/0001-12;MS;DOURADOS
12X BAR LEM AGO;20230266610008;01/08/2023;01/08/2023;01/08/2024;EXPIRADO;;MOVEIS E ELETRODOMESTICOS;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;L L CARDOSO & CIA LTDA-ME;LUZINAN LOPES CARDOSO;E M S CARDOSO PUBLICIDADES - ME;07.384.067/0001-16;NOSSO LAR LOJAS DE DEPARTAMENTOS LTDA;00.607.587/0021-45;L L CARDOSO & CIA LTDA;17994;11.212.152/0001-74;TO;ARAGUAINA
12X BAS AGOSTO;20230287160001;16/08/2023;16/08/2023;16/08/2024;EXPIRADO;;MOVEIS E ELETRODOMESTICOS;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;L L CARDOSO & CIA LTDA-ME;LUZINAN LOPES CARDOSO;E M S CARDOSO PUBLICIDADES - ME;07.384.067/0001-16;NOSSO LAR LOJAS DE DEPARTAMENTOS LTDA;00.607.587/0021-45;L L CARDOSO & CIA LTDA;17994;11.212.152/0001-74;TO;ARAGUAINA
12X RDC AGOSTO;20230281640001;11/08/2023;11/08/2023;11/08/2024;EXPIRADO;;MOVEIS E ELETRODOMESTICOS;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;L L CARDOSO & CIA LTDA-ME;LUZINAN LOPES CARDOSO;E M S CARDOSO PUBLICIDADES - ME;07.384.067/0001-16;NOSSO LAR LOJAS DE DEPARTAMENTOS LTDA;00.607.587/0021-45;L L CARDOSO & CIA LTDA;17994;11.212.152/0001-74;TO;ARAGUAINA
