TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""Fazenda Boa Vista Institucional 2019""";20190358960006;24/09/2019;04/10/2019;24/09/2020;EXPIRADO;;Institucional;COMUM;5;20190358960010|20190358960029|20190358960037|20190358960045|20190358960053;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);30;GERAL FILMES LTDA;LUIS CAETANO GOTTARDI FILHO;FEELING COMUNICACAO INTEGRADA LTDA;04.060.193/0001-27;CANARIAS ADMINISTRADORA DE BENS LTDA.;12.989.780/0001-23;GERAL FILMES LTDA;4234;07.390.450/0001-87;SP;SAO PAULO
"""NATAL LUZ GRAMADO""";20190404140002;15/10/2019;16/10/2019;15/10/2020;EXPIRADO;;Institucional;COMUM;2;20190404140017|20190404140025;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;15;PIMP STUDIO LTDA;EMANUEL ALEXANDRE PIMENTEL DA SILVA;PBC COMUNICACAO LTDA;73.090.482/0001-91;BANCO BRADESCO S.A.;60.746.948/0001-12;PIMP STUDIO LTDA;30813;11.672.118/0001-82;SC;FLORIANOPOLIS
0 DE TAXA;20190377660004;30/09/2019;11/10/2019;30/09/2020;EXPIRADO;;PAGSEGURO;COMUM;5;20190377660019|20190377660027|20190377660035|20190377660043|20190377660051;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;60;JOÃO DANIEL FILMES LTDA;AMILCAR ARMANDO OLIVEIRA DA SILVA;ARTPLAN COMUNICACAO SA;33.673.286/0007-10;PAGSEGURO INTERNET INSTITUICAO DE PAGAMENTO S.A;08.561.701/0001-01;JOÃO DANIEL FILMES LTDA;65;64.086.648/0001-05;SP;SAO PAULO
008;20190426090008;30/10/2019;30/10/2019;30/10/2020;EXPIRADO;;promocional;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;PEDRO HENRIQUE SEIFERT KEITEL;PEDRO HENRIQUE SEIFERT KEITEL;;NÃO INFORMADO;REDE SUPER SUL S.A.;23.682.972/0001-09;PEDRO HENRIQUE SEIFERT KEITEL;3213;07.117.785/0001-26;RS;CRUZ ALTA
01 DESCONTÃO AUTORIO;20190419530006;25/10/2019;25/10/2019;25/10/2020;EXPIRADO;;Concessionária;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;MOBILE FILMES PRODUCOES E CONSTRUCOES EIRELI;LEANDRO HENRIQUE DE OLIVEIRA;TERRA BRASILIS MARKETING E COMUNICACAO LTDA - EPP;07.284.127/0001-29;AUTORIO VEICULOS E EQUIPAMENTOS LTDA;00.062.851/0001-69;MOBILE FILMES PRODUCOES E CONSTRUCOES EIRELI;34620;26.363.068/0001-29;GO;RIO VERDE
1 FEIJOADA DO AMOR;20190424850005;30/10/2019;30/10/2019;30/10/2020;EXPIRADO;;Entidade Filantrópica;CARÁTER BENEFICENTE / FILANTRÓPICO;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;FLIP SERVIÇOS LTDA;FELIPPE CALAZANS THOMAZ;ROCHA PROPAGANDA & MARKETING LTDA - EPP;04.710.870/0001-05;GRUPO DE APOIO A CRIANCA COM CANCER - BAHIA;32.605.917/0001-06;FLIP SERVIÇOS LTDA;38759;29.335.396/0001-00;BA;SALVADOR
10 VEZES;20190427080006;30/10/2019;30/10/2019;30/10/2020;EXPIRADO;;Pneus e serviços para automoveis;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;MARCOS AURELIO GASPERI ***********;MARCOS AURELIO GASPERI;;NÃO INFORMADO;CR COMERCIO DE PNEUS LTDA - ME;03.562.403/0001-12;MARCOS AURELIO GASPERI ***********;21317;13.452.052/0001-40;SC;FLORIANOPOLIS
10X MAIS HEADS;20190359280009;24/09/2019;04/10/2019;24/09/2020;EXPIRADO;;NATIVA SPA QUINOA;COMUM;5;20190359280013|20190359280021|20190359280030|20190359280048|20190359280056;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;SAIGON FILMES LTDA;MANU MORENO MAZZARO;HEADS PROPAGANDA LTDA.;81.070.617/0003-47;O BOTICARIO FRANCHISING LTDA;76.801.166/0001-79;SAIGON FILMES LTDA;28030;20.975.417/0001-87;SP;SAO PAULO
10X MAIS IDEIA3;20190359380003;24/09/2019;04/10/2019;24/09/2020;EXPIRADO;;NATIVA SPA QUINOA;COMUM;5;20190359380018|20190359380026|20190359380034|20190359380042|20190359380050;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;SAIGON FILMES LTDA;MANU MORENO MAZZARO;IDEIA 3 COMUNICACAO & EXPANSAO DE NEGOCIOS LTDA;16.103.988/0001-54;O BOTICARIO FRANCHISING LTDA;76.801.166/0001-79;SAIGON FILMES LTDA;28030;20.975.417/0001-87;SP;SAO PAULO
12ª EXPOBELEZA 2019;20190383870007;03/10/2019;03/10/2019;03/10/2020;EXPIRADO;;Feira de Beleza;COMUM;5;20190383870011|20190383870020|20190383870038|20190383870046|20190383870054;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;PROIMAGEM ASSESSORIA EM EVENTOS E COMÉRCIO DE FILMES LTDA ME;HENRIQUE AVARI;;NÃO INFORMADO;MARIA AUXILIADORA CARVALHO DE ANDRADE SANDIM;PESSOA FÍSICA;PROIMAGEM ASSESSORIA EM EVENTOS E COMÉRCIO DE FILMES LTDA ME;21214;06.005.007/0001-82;SP;SAO JOSE DOS CAMPOS
