TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""Piscar de Olhos - Jaecoo 7""";20250251480006;14/08/2025;15/08/2025;14/08/2026;REGISTRADO;;Automovel;COMUM;4;20250251480011|20250251480020|20250251480038|20250251480046;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;FIORAVANTI PRODUÇÕES DE FILMES LTDA;BRUNO CURVELLO FIORAVANTI;;NÃO INFORMADO;OMODA & JAECOO BRAZIL AUTOMOBILE LTDA;18.296.886/0001-28;FIORAVANTI PRODUÇÕES DE FILMES LTDA;20426;13.045.177/0001-56;DF;BRASILIA
"""Volta da Libertadores""";20250245020007;08/08/2025;11/08/2025;08/08/2026;REGISTRADO;;Institucional;COMUM;5;20250245020012|20250245020020|20250245020039|20250245020047|20250245020055;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;HOUSE PRODUCOES LTDA;KARINA OLIVEIRA DA SILVA;DPZ COMUNICACOES LTDA;73.163.529/0001-08;VENTMEAR BRASIL S.A.;52.868.380/0001-84;HOUSE PRODUCOES LTDA;53468;46.011.796/0001-89;SP;SAO PAULO
+Diversão - Proxxima 30s;20250237550000;01/08/2025;01/08/2025;01/08/2026;REGISTRADO;;COMERCIAL;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;RISTRETTO PRODUTORA DE CONTEUDO AUDIOVISUAL LTDA;MATHEUS MAIA DE CARVALHO;;NÃO INFORMADO;PROXXIMA TELECOMUNICACOES S.A.;40.120.343/0001-04;RISTRETTO PRODUTORA DE CONTEUDO AUDIOVISUAL LTDA;53042;44.052.806/0001-07;PB;JOAO PESSOA
1 EXPOAGRO CANAVIEIRAS;20250253810003;16/08/2025;16/08/2025;16/08/2026;REGISTRADO;BRASIL;1 EXPOAGRO CANAVIEIRAS;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA ESTRANGEIRA;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;;;;NÃO INFORMADO;ASSOCIACAO DOS PARCEIROS DA AGRICULTURA DE CANAVIEIRAS ( APAC);61.591.450/0001-90;OLIVEIRA JOSE MIRANDA JUNIOR;42757;PESSOA FÍSICA;BA;ITABUNA
10 - VENDAS - 07/09/25;20250267390001;27/08/2025;27/08/2025;27/08/2026;REGISTRADO;;TITULO DE CAPITALIZAÇÃO;COMUM;3;20250267390017|20250267390025|20250267390033;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;10;BATUTA FILMES LTDA;ALEXANDRE MILIANI;MRW PARTICIPACOES SOROCABA LTDA - EPP;21.825.829/0001-01;BANCO DE OLHOS DE SOROCABA;50.795.566/0001-25;BATUTA FILMES LTDA;2834;07.026.323/0001-01;SP;SOROCABA
10 - VENDAS - 17/08/25;20250240630001;05/08/2025;05/08/2025;05/08/2026;REGISTRADO;;TITULO DE CAPITALIZAÇÃO;COMUM;3;20250240630017|20250240630025|20250240630033;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;10;BATUTA FILMES LTDA;ALEXANDRE MILIANI;MRW PARTICIPACOES SOROCABA LTDA - EPP;21.825.829/0001-01;BANCO DE OLHOS DE SOROCABA;50.795.566/0001-25;BATUTA FILMES LTDA;2834;07.026.323/0001-01;SP;SOROCABA
10 - VENDAS - 24/08/25;20250248860006;12/08/2025;12/08/2025;12/08/2026;REGISTRADO;;TITULO DE CAPITALIZAÇÃO;COMUM;3;20250248860011|20250248860020|20250248860038;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;10;BATUTA FILMES LTDA;ALEXANDRE MILIANI;MRW PARTICIPACOES SOROCABA LTDA - EPP;21.825.829/0001-01;BANCO DE OLHOS DE SOROCABA;50.795.566/0001-25;BATUTA FILMES LTDA;2834;07.026.323/0001-01;SP;SOROCABA
10 - VENDAS - 31/08/25;20250254380002;18/08/2025;18/08/2025;18/08/2026;REGISTRADO;;TITULO DE CAPITALIZAÇÃO;COMUM;3;20250254380018|20250254380026|20250254380034;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;10;BATUTA FILMES LTDA;ALEXANDRE MILIANI;MRW PARTICIPACOES SOROCABA LTDA - EPP;21.825.829/0001-01;BANCO DE OLHOS DE SOROCABA;50.795.566/0001-25;BATUTA FILMES LTDA;2834;07.026.323/0001-01;SP;SOROCABA
10 PRÓMUNDO MATRÍCULAS 2026;20250270780001;29/08/2025;29/08/2025;29/08/2026;REGISTRADO;;VT COMERCIAL;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);10;LOEXX VÍDEO E ANIMAÇÃO LTDA;PATRICK EMANUEL CARVALHO DE ALMEIDA;;NÃO INFORMADO;COLÉGIO PRÓ MUNDO LTDA EPP;32.844.532/0001-00;LOEXX VÍDEO E ANIMAÇÃO LTDA;48133;34.809.195/0001-37;SE;ARACAJU
100 ANOS GERACOES A;20250230390008;25/07/2025;05/08/2025;25/07/2026;REGISTRADO;;Institucional;COMUM;5;20250230390013|20250230390021|20250230390030|20250230390048|20250230390056;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;60;GLOBO COMUNICAÇÃO E PARTICIPAÇÕES S/A;MANUEL PONTUAL DE ARRUDA FALCAO;;NÃO INFORMADO;GLOBO COMUNICAÇÃO E PARTICIPAÇÕES S/A;27.865.757/0001-02;GLOBO COMUNICACAO E PARTICIPACOES S/A;4727;27.865.757/0001-02;RJ;RIO DE JANEIRO
100 ANOS GERACOES B;20250238810006;01/08/2025;12/08/2025;01/08/2026;REGISTRADO;;Institucional;COMUM;5;20250238810011|20250238810020|20250238810038|20250238810046|20250238810054;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;60;GLOBO COMUNICAÇÃO E PARTICIPAÇÕES S/A;MANUEL PONTUAL DE ARRUDA FALCAO;;NÃO INFORMADO;GLOBO COMUNICAÇÃO E PARTICIPAÇÕES S/A;27.865.757/0001-02;GLOBO COMUNICACAO E PARTICIPACOES S/A;4727;27.865.757/0001-02;RJ;RIO DE JANEIRO
100 ANOS GERACOES C;20250245430000;08/08/2025;19/08/2025;08/08/2026;REGISTRADO;;Institucional;COMUM;5;20250245430016|20250245430024|20250245430032|20250245430040|20250245430059;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;60;GLOBO COMUNICAÇÃO E PARTICIPAÇÕES S/A;MANUEL PONTUAL DE ARRUDA FALCAO;;NÃO INFORMADO;GLOBO COMUNICAÇÃO E PARTICIPAÇÕES S/A;27.865.757/0001-02;GLOBO COMUNICACAO E PARTICIPACOES S/A;4727;27.865.757/0001-02;RJ;RIO DE JANEIRO
11 CAMINHADA;20250242810007;06/08/2025;06/08/2025;06/08/2026;REGISTRADO;;INSTITUCIONAL;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;RAUL UBIRAJARA MACENA CARDOSO - HALLS MIDIA;RAUL UBIRAJARA MACENA CARDOSO;;NÃO INFORMADO;UNIMED CENTRO OESTE PAULISTA FEDERACAO INTRAFEDERATIVA DAS COOPERATIVAS MEDICAS;01.608.379/0001-80;RAUL UBIRAJARA MACENA CARDOSO - HALLS MIDIA;45319;34.641.317/0001-29;SP;BAURU
11 VAREJO BAIANAO 01 50;20250232720005;29/07/2025;11/08/2025;29/07/2026;REGISTRADO;;Varejo;COMUM;50;20250232720010|20250232720029|20250232720037|20250232720045|20250232720053|20250232720061|20250232720070|20250232720088|20250232720096|20250232720100|20250232720118|20250232720126|20250232720134|20250232720142|20250232720150|20250232720169|20250232720177|20250232720185|20250232720193|20250232720207|20250232720215|20250232720223|20250232720231|20250232720240|20250232720258|20250232720266|20250232720274|20250232720282|20250232720290|20250232720304|20250232720312|20250232720320|20250232720339|20250232720347|20250232720355|20250232720363|20250232720371|20250232720380|20250232720398|20250232720401|20250232720410|20250232720428|20250232720436|20250232720444|20250232720452|20250232720460|20250232720479|20250232720487|20250232720495|20250232720509;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;LIFE NEGOCIOS CRIATIVOS EIRELI;JOSE JORGE LAGO CARDOSO JUNIOR;;NÃO INFORMADO;RAFAEL BACETTO LTDA;36.213.646/0001-02;LIFE NEGOCIOS CRIATIVOS EIRELI;49743;43.409.776/0001-72;BA;SALVADOR
112 anos Orleans;20250253410005;15/08/2025;15/08/2025;15/08/2026;REGISTRADO;;Serviço publico, informativo;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;SMART VIDEO PRODUCOES LTDA;DANIEL DEBIASI CASCAES;LEGADO PUBLICIDADE LTDA;26.218.216/0001-11;PREFEITURA MUNICIPAL DE ORLEANS;82.926.544/0001-43;SMART VIDEO PRODUCOES LTDA;48645;41.394.540/0001-84;SC;CRICIUMA
