TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""ROMULO""";20230470860009;20/12/2023;29/12/2023;20/12/2024;EXPIRADO;;PAPÉIS;COMUM;15;20230470860014|20230470860022|20230470860030|20230470860049|20230470860057|20230470860065|20230470860073|20230470860081|20230470860090|20230470860103|20230470860111|20230470860120|20230470860138|20230470860146|20230470860154;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);60;RP COMUNICACAO LTDA;PAULO HENRIQUE MEMORIA MENDONCA;712 PROPAGANDA E MARKETING LTDA;04.681.236/0001-91;TRIUNFO DISTRIBUIDORA LTDA;02.321.499/0001-64;RP COMUNICACAO LTDA;50172;42.273.819/0001-72;MA;SAO LUIS
00.887.169/0001-05;20230451340003;07/12/2023;07/12/2023;07/12/2024;EXPIRADO;;PROPAGANDA ELEITORAL;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;PRIMEIRO PLANO FILMES EIRELLI;DALMO DE OLIVEIRA JUNIOR;;NÃO INFORMADO;PARTIDO PROGRESSISTA;00.887.169/0001-05;PRIMEIRO PLANO FILMES EIRELLI;47676;40.248.446/0001-54;MS;CAMPO GRANDE
01 CASA DOS PARAFUSOS;20230467370004;19/12/2023;19/12/2023;19/12/2024;EXPIRADO;;Comercial;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;VITORIA SIMOES IGNACIO ***********;VITORIA SIMOES IGNACIO;VITORIA SIMOES IGNACIO ***********;35.584.355/0001-50;CARMEN MARIA OLIVEIRA DOS SANTOS & CIA LTDA;12.406.156/0001-56;VITORIA SIMOES IGNACIO ***********;47548;35.584.355/0001-50;RS;URUGUAIANA
01_VT-15-NatalSH;20230474270001;22/12/2023;22/12/2023;22/12/2024;EXPIRADO;BRASIL;Shopping Uberaba;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA ESTRANGEIRA;TODOS OS SEGMENTOS DE MERCADO;15;;;AGENCIA SIX SS LTDA;13.708.013/0001-61;ASSOCIACAO DOS LOJISTAS DO SHOPPING CENTER UBERABA;02.822.038/0001-75;INVENT PUBLICIDADE E PROPAGANDA LTDA;43938;24.051.042/0001-10;MG;UBERABA
02_VT-15-NatalSH;20230474320009;22/12/2023;22/12/2023;22/12/2024;EXPIRADO;BRASIL;Shopping Uberaba;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA ESTRANGEIRA;TODOS OS SEGMENTOS DE MERCADO;15;;;AGENCIA SIX SS LTDA;13.708.013/0001-61;ASSOCIACAO DOS LOJISTAS DO SHOPPING CENTER UBERABA;02.822.038/0001-75;INVENT PUBLICIDADE E PROPAGANDA LTDA;43938;24.051.042/0001-10;MG;UBERABA
03_VT-15-NatalSH;20230474410008;22/12/2023;22/12/2023;22/12/2024;EXPIRADO;BRASIL;Shopping Uberaba;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA ESTRANGEIRA;TODOS OS SEGMENTOS DE MERCADO;15;;;AGENCIA SIX SS LTDA;13.708.013/0001-61;ASSOCIACAO DOS LOJISTAS DO SHOPPING CENTER UBERABA;02.822.038/0001-75;INVENT PUBLICIDADE E PROPAGANDA LTDA;43938;24.051.042/0001-10;MG;UBERABA
04_VT-30-NatalSH;20230474490001;22/12/2023;22/12/2023;22/12/2024;EXPIRADO;BRASIL;Shopping Uberaba;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA ESTRANGEIRA;TODOS OS SEGMENTOS DE MERCADO;30;;;AGENCIA SIX SS LTDA;13.708.013/0001-61;ASSOCIACAO DOS LOJISTAS DO SHOPPING CENTER UBERABA;02.822.038/0001-75;INVENT PUBLICIDADE E PROPAGANDA LTDA;43938;24.051.042/0001-10;MG;UBERABA
05_VT-15-NatalSH;20230474540009;22/12/2023;22/12/2023;22/12/2024;EXPIRADO;BRASIL;Shopping Uberaba;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA ESTRANGEIRA;TODOS OS SEGMENTOS DE MERCADO;15;;;AGENCIA SIX SS LTDA;13.708.013/0001-61;ASSOCIACAO DOS LOJISTAS DO SHOPPING CENTER UBERABA;02.822.038/0001-75;INVENT PUBLICIDADE E PROPAGANDA LTDA;43938;24.051.042/0001-10;MG;UBERABA
06_VT-45-NatalSH;20230474610007;22/12/2023;22/12/2023;22/12/2024;EXPIRADO;BRASIL;Shopping Uberaba;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA ESTRANGEIRA;TODOS OS SEGMENTOS DE MERCADO;45;;;AGENCIA SIX SS LTDA;13.708.013/0001-61;ASSOCIACAO DOS LOJISTAS DO SHOPPING CENTER UBERABA;02.822.038/0001-75;INVENT PUBLICIDADE E PROPAGANDA LTDA;43938;24.051.042/0001-10;MG;UBERABA
08 SPENGLER;20230449020005;05/12/2023;05/12/2023;05/12/2024;EXPIRADO;;Comercial;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;VITORIA SIMOES IGNACIO ***********;VITORIA SIMOES IGNACIO;VITORIA SIMOES IGNACIO ***********;35.584.355/0001-50;SPENGLER S.A.;95.425.542/0006-27;VITORIA SIMOES IGNACIO ***********;47548;35.584.355/0001-50;RS;URUGUAIANA
